wind spd [m/s],Surface T[K],TOA T[K],transmittance,jakobian,TCWV [cm]
0,271.46,270.534,0.9607,0.9641,0.24591471093594652
0,271.46,270.435,0.8536,0.8566,1.2317470288018844
0,271.46,270.213,0.9326,0.9388,0.45567772888805036
0,271.46,270.246,0.8949,0.9004,0.7657591022418463
0,271.46,270.494,0.9566,0.9601,0.3179009141755849
0,271.46,270.465,0.8397,0.8427,1.3450010452091183
0,271.46,270.206,0.9299,0.9362,0.4766494674532078
0,271.46,270.306,0.8866,0.8913,0.837407167585261
0,271.46,270.396,0.9455,0.9498,0.4660414616612198
0,271.46,270.487,0.8286,0.8315,1.4111409094848908
0,271.46,270.301,0.9375,0.9428,0.46884904631041185
0,271.46,270.339,0.8778,0.882,0.8798853329118506
0,271.46,270.223,0.9184,0.9244,0.6286696272427384
0,271.46,270.508,0.8242,0.8271,1.432171281732294
0,271.46,270.268,0.9317,0.9373,0.46899690516129366
0,271.46,270.414,0.8784,0.8818,0.8593943905411126
0,271.46,270.188,0.9055,0.9117,0.7032797132558009
0,271.46,270.535,0.8241,0.827,1.4317346902357078
0,271.46,270.268,0.9284,0.934,0.45681894428780473
0,271.46,270.551,0.895,0.8982,0.7163358027460959
0,271.46,270.226,0.9023,0.9081,0.734267614322934
0,271.46,270.561,0.8221,0.825,1.431284740456731
0,271.46,270.28,0.9269,0.9323,0.43724421693442717
0,271.46,270.601,0.9065,0.9091,0.620244120061387
0,271.46,270.287,0.8914,0.8963,0.8037266038861386
0,271.46,270.59,0.8216,0.8245,1.4143959456083377
0,271.46,270.301,0.9265,0.9317,0.4234102369310621
0,271.46,270.599,0.9091,0.9118,0.6043199767504703
0,271.46,270.415,0.8766,0.8801,0.8902704287396819
0,271.46,270.627,0.8224,0.8249,1.3805783320501905
0,271.46,270.326,0.9257,0.9307,0.42122162002314767
0,271.46,270.612,0.9107,0.9133,0.5789704435255668
0,271.46,270.468,0.8709,0.8741,0.9204438824675092
0,271.46,270.665,0.8252,0.8273,1.3337723381582907
0,271.46,270.355,0.9246,0.9292,0.43161252823339263
0,271.46,270.626,0.9108,0.9133,0.5663284607893624
0,271.46,270.481,0.8689,0.8721,0.9209257493639523
0,271.46,270.699,0.8307,0.8324,1.2811639550713037
0,271.46,270.383,0.9224,0.9267,0.45232551380950686
0,271.46,270.639,0.9109,0.9132,0.5613879357374845
0,271.46,270.527,0.8752,0.8783,0.871254964743312
0,271.46,270.716,0.8372,0.8387,1.2325821253945028
0,271.46,270.411,0.9188,0.9227,0.4799571209332442
0,271.46,270.658,0.9116,0.9136,0.5501241504489301
0,271.463,270.458,0.8724,0.8756,0.9498481132700771
0,271.46,270.725,0.8423,0.8437,1.1923148067892706
0,271.46,270.446,0.9152,0.9187,0.5074308250014021
0,271.46,270.683,0.911,0.9128,0.5468381149526087
0,271.716,270.702,0.879,0.8831,0.8992814059847147
0,271.541,270.796,0.8486,0.85,1.1547789000321211
0,271.46,270.476,0.9172,0.9205,0.5145908133766374
0,271.46,270.707,0.9091,0.9106,0.5587598721275869
0,271.888,270.921,0.8852,0.8885,0.8116646357318759
0,271.787,271.0,0.8527,0.8542,1.1200002039432426
0,271.503,270.524,0.9174,0.9212,0.5329470308413168
0,271.46,270.73,0.9057,0.907,0.5840552074357708
0,271.904,270.955,0.8866,0.8897,0.8094888162624342
0,271.887,271.078,0.8566,0.8581,1.1014005802185252
0,271.904,270.893,0.9152,0.9191,0.589561318085177
0,271.46,270.755,0.9015,0.9025,0.6123172541081817
0,272.525,271.549,0.8889,0.8926,0.8022754457434494
0,272.546,271.638,0.8562,0.8592,1.102243120739498
0,272.861,271.718,0.9061,0.9113,0.7326583491814228
0,272.198,271.461,0.8976,0.8982,0.6324222338923078
0,272.648,271.699,0.8888,0.8922,0.7946516904345522
0,272.916,271.957,0.8566,0.8596,1.1144910851310081
0,273.549,272.261,0.8854,0.8912,0.9031102364212039
0,272.554,271.819,0.8971,0.8983,0.63193210729454
0,272.943,271.997,0.8878,0.8908,0.7950475952542407
0,273.127,272.132,0.8562,0.8592,1.1244252624494604
0,273.857,272.536,0.8673,0.8739,1.0081715468585093
0,273.33,272.551,0.8965,0.8983,0.6276452203351808
0,271.46,270.529,0.9606,0.964,0.24118001560165805
0,271.46,270.62,0.8792,0.8817,0.915170267114662
0,271.46,270.27,0.935,0.9406,0.41685585801471453
0,271.46,270.257,0.894,0.8993,0.7699656865494335
0,271.46,270.493,0.9567,0.9602,0.3135148598145137
0,271.46,270.672,0.8845,0.8865,0.8926602866422275
0,271.46,270.235,0.9304,0.9363,0.4554629256677867
0,271.46,270.313,0.8855,0.8901,0.8499063390658381
0,271.46,270.394,0.9454,0.9498,0.46644042562954713
0,271.46,270.674,0.8838,0.8857,0.9535766546170201
0,271.46,270.253,0.9307,0.9365,0.47725553578439106
0,271.46,270.367,0.8771,0.881,0.900322995110461
0,271.46,270.224,0.9182,0.9242,0.6340588274283266
0,271.46,270.641,0.8723,0.8746,1.0924658267604126
0,271.46,270.322,0.9371,0.9422,0.47971794649549027
0,271.46,270.418,0.8695,0.8728,0.9126794063212207
0,271.46,270.18,0.9031,0.9094,0.7144723733384999
0,271.46,270.602,0.8599,0.8626,1.2261996706316634
0,271.46,270.296,0.934,0.9393,0.4966401370498591
0,271.46,270.513,0.878,0.8811,0.8375736872428405
0,271.46,270.223,0.8999,0.9056,0.7509466025605074
0,271.46,270.574,0.8457,0.8487,1.3332469293795537
0,271.46,270.248,0.9275,0.9332,0.5173811138360195
0,271.46,270.621,0.8976,0.9001,0.6845512483875738
0,271.46,270.308,0.887,0.8918,0.8291078502852656
0,271.46,270.567,0.8346,0.8375,1.4066435530991723
0,271.46,270.237,0.9241,0.93,0.5234037617331098
0,271.46,270.646,0.9061,0.9083,0.608793981634911
0,271.46,270.452,0.8735,0.8766,0.9048880606527204
0,271.46,270.555,0.8236,0.8265,1.4579899863867887
0,271.46,270.269,0.9252,0.9307,0.5035637042211154
0,271.46,270.647,0.9088,0.9109,0.5863378931643324
0,271.46,270.491,0.8676,0.8707,0.9247595764098853
0,271.46,270.554,0.8181,0.821,1.4735141460131647
0,271.46,270.298,0.9243,0.9296,0.4808826663539537
0,271.46,270.654,0.9098,0.9119,0.569346820779777
0,271.46,270.529,0.87,0.8731,0.9055339489020208
0,271.46,270.559,0.8169,0.8198,1.4734733573646457
0,271.46,270.318,0.9214,0.9264,0.4789605012924903
0,271.46,270.671,0.9095,0.9114,0.5628830946347632
0,271.46,270.531,0.8742,0.8773,0.8930190737917638
0,271.46,270.555,0.8142,0.8171,1.4801040620395343
0,271.46,270.356,0.9189,0.9234,0.4925647902188821
0,271.46,270.691,0.9085,0.9102,0.5634197202918428
0,271.46,270.49,0.8735,0.8766,0.9321710777890514
0,271.46,270.571,0.8147,0.8175,1.4764649498044693
0,271.46,270.409,0.9132,0.917,0.5304713128336385
0,271.46,270.717,0.9068,0.9083,0.574165234815151
0,271.679,270.715,0.8772,0.8808,0.8724562924138212
0,271.572,270.682,0.8135,0.8164,1.476166529854742
0,271.46,270.5,0.9044,0.9077,0.5895600944257213
0,271.46,270.733,0.905,0.9063,0.5920676275792447
0,271.854,270.93,0.8859,0.8888,0.8049523537599488
0,271.846,270.934,0.8122,0.8148,1.4793352979865706
0,271.554,270.637,0.9061,0.9093,0.6077011007836519
0,271.46,270.755,0.9023,0.9033,0.6118259038509583
0,272.008,271.088,0.8879,0.8905,0.8011448353923104
0,271.977,271.068,0.8111,0.8134,1.4773697949860556
0,272.141,271.163,0.9091,0.9124,0.6269110756476474
0,271.461,270.789,0.8988,0.8994,0.6305191885098378
0,272.47,271.533,0.8904,0.8937,0.7830364599531952
0,272.531,271.564,0.8112,0.8146,1.4643849836590475
0,272.82,271.705,0.8997,0.9047,0.7635609000015295
0,272.439,271.703,0.8966,0.8979,0.6442374307230299
0,272.736,271.81,0.8969,0.8999,0.7422682567441481
0,273.143,272.117,0.8118,0.8149,1.441038326033865
0,273.425,272.144,0.8793,0.8851,0.9602260710844173
0,273.474,272.657,0.893,0.895,0.6686255755023378
0,273.017,272.095,0.8979,0.9005,0.7354080649355286
0,273.356,272.325,0.8104,0.8131,1.4239606287570172
0,273.585,272.294,0.8648,0.8703,1.0494406856571816
0,273.603,272.78,0.8879,0.8899,0.6999334125312926
0,271.46,270.522,0.9602,0.9637,0.23810939515532828
0,271.46,270.667,0.8784,0.8804,0.9142181580866044
0,271.46,270.28,0.9347,0.9402,0.4380310809501716
0,271.46,270.261,0.8939,0.8992,0.7748781694054545
0,271.46,270.486,0.9564,0.96,0.31175457470186047
0,271.46,270.736,0.8839,0.8852,0.8726277576950336
0,271.46,270.253,0.9298,0.9356,0.4525352694345165
0,271.46,270.322,0.8853,0.8899,0.8590933193292308
0,271.46,270.394,0.9456,0.9499,0.46305359118557304
0,271.46,270.767,0.883,0.8839,0.8614707876797887
0,271.46,270.266,0.9283,0.9339,0.4598884940321109
0,271.46,270.383,0.8766,0.8804,0.9110771772215791
0,271.46,270.224,0.9185,0.9245,0.6348298858427699
0,271.46,270.783,0.878,0.8787,0.8788849913069194
0,271.46,270.312,0.9314,0.9366,0.455454003150923
0,271.46,270.432,0.8668,0.87,0.9391907532133807
0,271.46,270.177,0.9009,0.9072,0.7242988686248618
0,271.46,270.794,0.8781,0.8788,0.8746912554236159
0,271.46,270.36,0.9367,0.9413,0.4495052336934632
0,271.46,270.486,0.8672,0.8703,0.9196735888402257
0,271.46,270.222,0.8958,0.9015,0.7687240800885115
0,271.46,270.802,0.8847,0.8853,0.8468179755574026
0,271.46,270.311,0.9319,0.937,0.47117542687869973
0,271.46,270.561,0.8736,0.8767,0.8533130069901546
0,271.46,270.328,0.8834,0.8879,0.846950334721847
0,271.46,270.791,0.8852,0.8858,0.8601036031672388
0,271.46,270.281,0.9285,0.934,0.4976877934870725
0,271.46,270.632,0.888,0.8904,0.7560531374118582
0,271.46,270.477,0.8751,0.8783,0.8982596503393105
0,271.46,270.769,0.8804,0.8813,0.925021133618514
0,271.46,270.262,0.9266,0.9323,0.5243455206416054
0,271.46,270.657,0.8951,0.8972,0.6939536437009581
0,271.46,270.517,0.8714,0.8745,0.9040437866141856
0,271.46,270.761,0.877,0.8779,0.9726000723998511
0,271.46,270.256,0.9255,0.9312,0.5415481331545432
0,271.46,270.671,0.8978,0.8997,0.6649694849923267
0,271.46,270.545,0.8715,0.8747,0.9001799289257798
0,271.46,270.75,0.873,0.8741,1.015570913614741
0,271.46,270.284,0.9255,0.9309,0.5266207624418126
0,271.46,270.688,0.8972,0.8989,0.6568015071405628
0,271.46,270.54,0.8727,0.8759,0.9088270204402115
0,271.46,270.747,0.8712,0.8723,1.0392729423401468
0,271.46,270.316,0.9226,0.9276,0.5145307520916929
0,271.46,270.71,0.8951,0.8967,0.6644213365420405
0,271.462,270.553,0.8749,0.878,0.8962551941794599
0,271.46,270.742,0.8693,0.8704,1.0731185980941504
0,271.46,270.356,0.9176,0.9221,0.5269802124068873
0,271.46,270.725,0.8933,0.8946,0.6800974338841501
0,271.927,271.003,0.8796,0.8824,0.8472718512437988
0,271.537,270.808,0.8678,0.869,1.0975043465403578
0,271.46,270.409,0.9104,0.9142,0.5713518887693556
0,271.46,270.744,0.8902,0.8913,0.7015951930577721
0,272.011,271.116,0.8855,0.8879,0.8030090295870661
0,272.101,271.306,0.866,0.8671,1.1258079976342585
0,271.566,270.59,0.8994,0.9033,0.6474213416406214
0,271.46,270.769,0.885,0.8859,0.727849061606155
0,272.277,271.371,0.889,0.8912,0.7925478629297468
0,272.209,271.396,0.863,0.864,1.1624994264096304
0,272.197,271.223,0.8907,0.8937,0.7177509649064666
0,271.5,270.832,0.8797,0.8802,0.7575789387813372
0,272.491,271.55,0.8855,0.8889,0.8501007479618423
0,272.589,271.72,0.8596,0.8622,1.2075339183105345
0,272.399,271.372,0.8833,0.8866,0.8275337653531023
0,271.927,271.23,0.8729,0.8732,0.7920514650772691
0,272.917,271.914,0.8761,0.8796,0.9352023881753707
0,272.993,272.06,0.8549,0.8575,1.2546677509649065
0,273.117,271.943,0.8738,0.8789,0.9631639754656278
0,272.688,271.908,0.866,0.8675,0.8505850621771961
0,273.488,272.414,0.8653,0.8687,1.0158578107712626
0,273.549,272.528,0.8502,0.8539,1.2932968954739898
0,273.683,272.381,0.8601,0.8655,1.0654528814630888
0,273.4,272.517,0.8568,0.8592,0.9393154135204174
0,271.46,270.511,0.9599,0.9634,0.2363248917826169
0,271.46,270.696,0.8441,0.8458,1.1321021959588649
0,271.46,270.205,0.9284,0.9347,0.5283817613558147
0,271.46,270.258,0.8945,0.8999,0.7728731524016866
0,271.46,270.482,0.956,0.9596,0.3105104189504061
0,271.46,270.73,0.8559,0.8572,1.0835624295758493
0,271.46,270.173,0.9231,0.9297,0.5546420031305288
0,271.46,270.31,0.8855,0.8902,0.8567760142352384
0,271.46,270.405,0.9464,0.9506,0.4528908444779818
0,271.46,270.732,0.8662,0.8675,1.0271260828111537
0,271.46,270.201,0.9232,0.9295,0.5628978805198515
0,271.46,270.379,0.8775,0.8813,0.9152311951583874
0,271.46,270.226,0.9195,0.9255,0.629614292342441
0,271.46,270.755,0.8842,0.8853,0.9023676790749136
0,271.46,270.22,0.9231,0.9292,0.56307378156659
0,271.46,270.431,0.8694,0.8726,0.9461668357696054
0,271.46,270.175,0.8997,0.906,0.7315911141929201
0,271.46,270.779,0.8921,0.8929,0.8216735582487396
0,271.46,270.241,0.9241,0.9299,0.5483401059485145
0,271.46,270.467,0.8638,0.8669,0.9463098509684755
0,271.46,270.23,0.8918,0.8974,0.7790678264239064
0,271.46,270.793,0.8885,0.8891,0.8229482035149616
0,271.46,270.275,0.9269,0.9324,0.5136453325039643
0,271.46,270.525,0.8645,0.8676,0.9225313435270965
0,271.46,270.359,0.8852,0.8894,0.8425421525189541
0,271.46,270.794,0.879,0.8796,0.864225805958202
0,271.46,270.276,0.9259,0.9314,0.5038916959410196
0,271.46,270.585,0.8658,0.8687,0.884467274757435
