32.4	1	269.4	3.9e-06
30.8	2	262.4	3.9e-06
29.7	3	251.9	3.9e-06
28.2	5	234.5	3.9e-06
27.1	7	222.5	3.9e-06
25.9	10	213.5	3.9e-06
23.3	20	196.5	3.4e-06
21.6	30	192.0	2.2e-06
19.3	50	190.0	1.3e-06
17.7	70	189.5	2e-06
15.8	100	190.1	2.2e-06
14.6	125	192.6	2.6e-06
13.5	150	192.4	2e-06
12.6	175	194.6	2.5e-06
11.8	200	200.4	5.5e-06
11.0	225	206.1	1.19e-05
10.4	250	210.5	1.91e-05
9.2	300	219.0	4.84e-05
8.1	350	228.1	0.0001299
7.2	400	235.5	0.0002667
6.3	450	241.1	0.0004405
5.6	500	244.9	0.0002829
4.9	550	249.1	0.0005769
4.2	600	253.2	0.0003667
3.6	650	256.8	0.0006014
3.0	700	260.0	0.0011042
2.5	750	263.3	0.0017545
2.2	775	263.2	0.0019663
1.9	800	262.2	0.0018438
1.7	825	263.2	0.0020063
1.5	850	265.2	0.0023195
1.2	875	267.3	0.0026838
1.0	900	268.1	0.0028254
0.8	925	267.2	0.0026316
0.5	950	265.5	0.0021302
0.3	975	262.5	0.0015203
0.1	1000	263.3	0.001549
32.4	1	265.9	3.9e-06
30.8	2	259.3	3.9e-06
29.7	3	252.9	3.8e-06
28.2	5	247.9	3.8e-06
27.1	7	236.6	3.9e-06
25.9	10	229.1	3.9e-06
23.3	20	214.0	3.7e-06
21.6	30	205.6	2.9e-06
19.3	50	197.8	1.3e-06
17.7	70	197.1	1.4e-06
15.8	100	197.4	1.3e-06
14.6	125	198.1	1.6e-06
13.5	150	199.0	1.9e-06
12.6	175	199.4	2.1e-06
11.8	200	199.7	2.7e-06
11.0	225	199.8	5.5e-06
10.4	250	202.7	5.8e-06
9.2	300	211.7	1.74e-05
8.1	350	220.0	4.72e-05
7.2	400	227.2	0.0001008
6.3	450	233.8	0.0001917
5.6	500	238.2	0.0002823
4.9	550	242.7	0.0004097
4.2	600	247.5	0.0006028
3.6	650	251.5	0.0008317
3.0	700	254.7	0.0010952
2.5	750	258.1	0.0011927
2.2	775	259.7	0.0011327
1.9	800	260.4	0.0011184
1.7	825	261.2	0.001433
1.5	850	262.4	0.0017988
1.2	875	263.0	0.0018518
1.0	900	263.5	0.0019094
0.8	925	262.9	0.0017874
0.5	950	263.3	0.0017183
0.3	975	264.7	0.0018436
0.1	1000	266.0	0.0018436
32.4	1	262.2	3.9e-06
30.8	2	258.4	3.8e-06
29.7	3	250.5	3.7e-06
