wind spd [m/s],Surface T[K],TOA T[K],transmittance,jakobian,TCWV [cm]
0,271.524,270.693,0.9556,0.9579,0.28066001131885
0,272.122,271.021,0.9209,0.9256,0.5652778981609419
0,272.029,270.949,0.9073,0.9118,0.8286508644644197
0,272.817,271.883,0.9281,0.9312,0.5660676683678932
0,271.481,270.624,0.9522,0.9548,0.33798952751449274
0,272.019,270.936,0.9249,0.9295,0.5246424620028246
0,271.848,270.741,0.8755,0.8804,0.9808144473393057
0,272.705,271.787,0.9326,0.9356,0.5476656146594403
0,271.476,270.604,0.9506,0.9535,0.37325360852074874
0,271.922,270.949,0.9423,0.9459,0.4400740823828729
0,271.925,270.891,0.8562,0.8601,1.0760226988829011
0,272.682,271.74,0.932,0.9353,0.5597441532021639
0,271.46,270.563,0.9494,0.9525,0.417039202989808
0,271.555,270.632,0.9442,0.9475,0.39292602468732957
0,271.752,270.839,0.8441,0.847,1.1454243294091255
0,272.715,271.725,0.9226,0.9264,0.5980982292627962
0,271.46,270.502,0.9411,0.9445,0.5381662443342019
0,271.46,270.463,0.9311,0.9346,0.4365745692973645
0,271.46,270.618,0.8463,0.8489,1.1354204035017055
0,271.847,270.885,0.9144,0.9178,0.6207486756435684
0,271.46,270.427,0.9241,0.9279,0.708416278749624
0,271.46,270.442,0.9264,0.93,0.45849719323112376
0,271.46,270.629,0.8447,0.8471,1.1202345347289848
0,271.46,270.535,0.9146,0.918,0.6194615388537371
0,271.46,270.353,0.8995,0.9038,0.8226680874712569
0,271.46,270.433,0.9244,0.9281,0.47426455517429505
0,271.46,270.653,0.8435,0.8457,1.1047641651328437
0,271.46,270.553,0.9176,0.9208,0.6115612874936905
0,271.46,270.4,0.8794,0.8831,0.926737876848873
0,271.46,270.407,0.9199,0.9239,0.4934462329133802
0,271.46,270.684,0.8441,0.8459,1.0864832027246816
0,271.46,270.555,0.9154,0.9185,0.6190513580070667
0,271.46,270.491,0.8643,0.8674,1.0126566666496715
0,271.46,270.417,0.9183,0.9221,0.49417736943808543
0,271.46,270.716,0.846,0.8475,1.0763841882804015
0,271.46,270.566,0.9074,0.9105,0.6597941192965997
0,271.46,270.526,0.8546,0.8577,1.0504325636175453
0,271.46,270.428,0.9153,0.919,0.5073264060611933
0,271.46,270.758,0.8491,0.8501,1.0278456965426523
0,271.468,270.577,0.9031,0.9061,0.6872318783682501
0,271.46,270.546,0.8528,0.8559,1.0678765939439052
0,271.46,270.436,0.9123,0.9159,0.5298774301112
0,271.486,270.839,0.8632,0.8636,0.9276216139048504
0,271.567,270.656,0.9008,0.9039,0.7058646428698894
0,271.46,270.589,0.8551,0.858,1.0294587856199622
0,271.458,270.446,0.911,0.9144,0.5343755512840777
0,271.71,271.014,0.8735,0.8742,0.9121203978932664
0,271.919,270.969,0.8997,0.9029,0.7165647800217202
0,271.459,270.659,0.8609,0.863,0.93594876945746
0,271.731,270.69,0.9119,0.9163,0.5230273844788995
0,272.316,271.46,0.8771,0.8788,1.0175450332172555
0,272.455,271.451,0.902,0.9051,0.7089054366169896
0,271.551,270.769,0.8648,0.8665,0.8906624076519505
0,272.171,271.1,0.9169,0.9212,0.504205462619753
0,272.259,271.323,0.8711,0.8735,1.1654301417915396
0,272.635,271.602,0.9026,0.9069,0.7022747319421005
0,271.639,270.84,0.8649,0.8667,0.9059889972620621
0,272.301,271.257,0.9224,0.9264,0.4823692596350435
0,272.25,271.319,0.8491,0.8513,1.3191485369621636
0,272.844,271.769,0.9018,0.9063,0.7008891925377168
0,271.718,270.901,0.8634,0.8653,0.9289736556316377
0,272.349,271.335,0.9255,0.9291,0.49431574492818653
0,272.057,271.268,0.8129,0.8136,1.4522594871847165
0,272.862,271.761,0.9003,0.9051,0.7065996033303932
0,272.107,271.248,0.8628,0.8646,0.9418659277123176
0,272.406,271.35,0.9207,0.9246,0.5351757735822121
0,272.499,271.779,0.8047,0.8058,1.4788430809705662
0,272.835,271.727,0.9006,0.9055,0.7086180805881723
0,272.174,271.3,0.86,0.8618,0.9641263326416258
0,272.804,271.723,0.9225,0.9272,0.5565951675648668
0,272.422,271.82,0.8152,0.8152,1.4394269704741174
0,272.855,271.748,0.9017,0.9065,0.7056876711211271
0,272.415,271.563,0.9572,0.9597,0.2584330530813275
0,272.34,271.231,0.9185,0.9231,0.5422457210158413
0,272.336,271.24,0.9067,0.911,0.8197003054050059
0,272.99,272.046,0.9277,0.9307,0.5819334329256168
0,272.193,271.32,0.9532,0.9556,0.31873993667562317
0,272.113,271.024,0.9259,0.9306,0.4846695864540898
0,272.165,271.029,0.8781,0.8829,0.9754443668327106
0,272.802,271.877,0.9341,0.9371,0.544802761391505
0,271.887,271.006,0.9504,0.9531,0.36438039493608926
0,271.861,270.917,0.9447,0.948,0.39417155705567136
0,272.062,271.004,0.8571,0.8611,1.0732995467361435
0,272.718,271.757,0.9262,0.9297,0.5741807854873988
0,271.46,270.578,0.9488,0.9517,0.39900909077003865
0,271.49,270.52,0.9366,0.9404,0.41392580544834373
0,271.505,270.617,0.8434,0.8463,1.1450656442312108
0,272.313,271.34,0.9142,0.9173,0.6207894642920875
0,271.46,270.545,0.9469,0.9502,0.45446253307704476
0,271.46,270.434,0.9281,0.9318,0.45879444050720697
0,271.46,270.619,0.8451,0.8477,1.132792339891808
0,271.49,270.564,0.9114,0.9147,0.6374885919248673
0,271.46,270.477,0.934,0.9374,0.6078421275359067
0,271.46,270.443,0.9281,0.9318,0.4629813952776942
0,271.46,270.636,0.8466,0.8489,1.108498875762875
0,271.46,270.548,0.916,0.9193,0.6228699402956157
0,271.46,270.405,0.9172,0.9211,0.7378977530553248
0,271.46,270.412,0.9229,0.9269,0.4856971034960972
0,271.46,270.654,0.8443,0.8465,1.0947900659246532
0,271.46,270.565,0.92,0.9231,0.6086831384825603
0,271.46,270.355,0.895,0.8993,0.8434314980141027
0,271.46,270.388,0.9177,0.9219,0.503977607031963
0,271.46,270.681,0.8456,0.8475,1.0826467754024054
0,271.46,270.575,0.9206,0.9236,0.6042909658242112
0,271.46,270.422,0.8778,0.8812,0.939008886826796
0,271.46,270.403,0.9169,0.9208,0.5013126296951558
0,271.46,270.716,0.847,0.8485,1.0604883420943954
0,271.46,270.584,0.9169,0.9198,0.6248752122284369
0,271.46,270.498,0.8652,0.8683,1.0119644832843018
0,271.46,270.424,0.9191,0.9228,0.5028513814605395
0,271.46,270.766,0.8524,0.8533,0.9981859758429229
0,271.464,270.585,0.9102,0.9131,0.6648149470002498
0,271.46,270.527,0.856,0.8591,1.0479314036903529
0,271.46,270.397,0.9131,0.9171,0.5524720470293117
0,271.485,270.832,0.8637,0.8642,0.9160514038942964
0,271.573,270.682,0.9033,0.9062,0.7017717569200492
0,271.46,270.567,0.8542,0.8573,1.0446479684703749
0,271.486,270.413,0.9101,0.9142,0.5772242814824635
0,271.77,271.066,0.8723,0.8729,0.9108317315291152
0,272.257,271.298,0.9033,0.9062,0.7161625019757002
0,271.46,270.599,0.8549,0.8576,1.0186712078028684
0,271.614,270.537,0.912,0.9169,0.5636717431538802
0,272.018,271.219,0.8776,0.8789,0.9811546756537657
0,272.432,271.428,0.9023,0.9054,0.723120280625902
0,271.571,270.711,0.8553,0.8579,0.9998944083861462
0,272.045,270.947,0.9154,0.9201,0.540718695986907
0,272.268,271.387,0.8796,0.8814,1.0792424528253788
0,272.62,271.569,0.9,0.9044,0.727429856271
0,271.958,271.069,0.8572,0.8594,0.9881870465449467
0,272.313,271.265,0.9228,0.9268,0.4932769090362153
0,272.366,271.43,0.8621,0.8643,1.244184099565091
0,273.046,271.947,0.901,0.9055,0.7188839715907063
0,272.315,271.374,0.8572,0.8594,0.9950194001009522
0,272.349,271.355,0.9275,0.9309,0.4760895922664723
0,272.432,271.544,0.8349,0.8376,1.3973046861058571
0,273.095,271.978,0.9007,0.9053,0.7172665487194914
0,272.291,271.322,0.8563,0.8588,1.0241226106774488
0,272.697,271.686,0.9262,0.9302,0.488610432716575
0,272.382,271.63,0.8165,0.8181,1.451229573809609
0,273.017,271.908,0.9012,0.9059,0.718278617060872
0,272.117,271.117,0.8533,0.8564,1.062275547715071
0,272.841,271.823,0.927,0.931,0.49925372068953217
0,272.351,271.74,0.8207,0.8209,1.4121714856755365
0,272.858,271.764,0.9019,0.9066,0.7194678610942575
0,272.387,271.533,0.9567,0.9592,0.26065297527698045
0,272.178,271.091,0.9219,0.9264,0.5064498580045174
0,272.383,271.308,0.9089,0.913,0.7985363503337023
0,273.136,272.146,0.9192,0.9226,0.6211007326660991
0,272.261,271.389,0.9529,0.9552,0.31248336587927583
0,272.069,271.106,0.9446,0.948,0.40400926922037605
0,272.182,271.051,0.8811,0.8858,0.9702547760958126
0,273.005,272.055,0.9307,0.9338,0.5818699555913589
0,271.786,270.912,0.9497,0.9524,0.3600357920390756
0,271.686,270.727,0.9419,0.9455,0.39847603411970456
0,271.824,270.779,0.858,0.8622,1.0703373731090637
0,272.837,271.881,0.9298,0.9331,0.580713597405842
0,271.46,270.587,0.9482,0.951,0.3893524802047591
0,271.46,270.411,0.9268,0.9307,0.4580544834372594
0,271.46,270.564,0.8446,0.8477,1.14323015504785
0,272.12,271.161,0.9156,0.9187,0.6299580386778361
0,271.46,270.571,0.9474,0.9504,0.41687283628966065
0,271.46,270.419,0.9258,0.9297,0.46512968240938557
0,271.46,270.619,0.8414,0.844,1.143772134215048
0,271.46,270.538,0.9101,0.9134,0.661342099493711
0,271.46,270.534,0.9429,0.9463,0.4950566197427257
0,271.46,270.427,0.9264,0.9302,0.4676631673405291
0,271.46,270.659,0.8474,0.8495,1.0970229895020216
0,271.46,270.535,0.9083,0.9116,0.6801647861400173
0,271.46,270.462,0.9294,0.9328,0.6496086329174591
0,271.46,270.429,0.9267,0.9305,0.4712464501129336
0,271.46,270.672,0.8473,0.8493,1.0786352118205502
0,271.46,270.539,0.9101,0.9134,0.6755278815905534
0,271.46,270.395,0.9137,0.9177,0.7493534489351614
0,271.46,270.417,0.9236,0.9274,0.4858858529671193
0,271.462,270.696,0.8486,0.8503,1.0562832873611272
0,271.461,270.549,0.917,0.9203,0.6515010222655034
0,271.46,270.358,0.8934,0.8977,0.8489437779465974
0,271.46,270.402,0.9191,0.9231,0.5032169497228922
0,271.54,270.794,0.85,0.8514,1.0220300000509859
0,271.502,270.604,0.9211,0.9242,0.6404501027364085
0,271.46,270.42,0.8757,0.8791,0.9391160590007802
0,271.46,270.43,0.9205,0.9242,0.4976250809399745
0,271.501,270.807,0.8553,0.8562,0.9633282517475387
0,271.546,270.661,0.9192,0.9221,0.6497805060851566
0,271.46,270.48,0.8679,0.871,0.9940389939479843
0,271.49,270.47,0.9211,0.9247,0.5010286387298415
0,271.488,270.828,0.8643,0.8648,0.9047389271565723
0,271.616,270.721,0.9134,0.9163,0.6702729780302141
0,271.46,270.503,0.8585,0.8616,1.029531644343379
0,271.675,270.64,0.9204,0.9248,0.5074027828055453
0,271.924,271.202,0.8712,0.8718,0.8985691342099494
0,272.237,271.28,0.9048,0.9077,0.7010913512769398
0,271.46,270.536,0.8544,0.8575,1.0503894296217362
0,271.863,270.819,0.9207,0.925,0.5043507721801023
0,272.113,271.333,0.8771,0.878,0.9335989354162738
0,272.504,271.518,0.9024,0.906,0.7147313302707856
0,271.508,270.584,0.8534,0.8568,1.0535532011441218
0,272.038,271.011,0.9224,0.9264,0.4909305420301531
0,272.13,271.328,0.885,0.8862,0.9777271545328935
0,272.591,271.575,0.9022,0.9063,0.7174381669581356
0,271.87,270.896,0.8547,0.858,1.0524521625631587
0,272.269,271.243,0.9225,0.9263,0.48482473627589445
0,272.243,271.386,0.8812,0.8828,1.1014737958426173
0,272.722,271.663,0.8997,0.9041,0.7271987375913285
0,272.068,271.045,0.855,0.8585,1.0586670269663954
0,272.731,271.693,0.9237,0.928,0.48736510429147567
0,272.277,271.42,0.8574,0.8587,1.2704468906303374
0,272.958,271.857,0.8969,0.9015,0.7415077523925093
0,272.066,271.022,0.8558,0.8596,1.0708248484446778
0,272.918,271.9,0.9272,0.9311,0.48399621685284994
0,272.66,271.844,0.8349,0.8367,1.3684352454711854
0,272.85,271.76,0.8987,0.9033,0.7431087068468845
0,272.24,271.149,0.8524,0.8564,1.0958966109731665
0,273.548,272.516,0.9294,0.9334,0.48132710966538017
0,272.855,272.154,0.8314,0.8317,1.3461935523343853
0,273.174,272.063,0.901,0.9055,0.7418901459723759
0,272.259,271.391,0.9544,0.9567,0.2887805723667104
0,272.071,271.087,0.9399,0.9435,0.43899563051602736
0,272.485,271.432,0.9139,0.9176,0.7664285459356661
0,273.196,272.222,0.9196,0.9227,0.631412663855649
0,272.205,271.334,0.9521,0.9544,0.31424084677234326
0,272.241,271.301,0.9476,0.9507,0.36635369876563356
0,272.398,271.246,0.8838,0.8885,0.9613100804046237
0,273.123,272.154,0.9204,0.9236,0.6274969535978138
0,271.631,270.764,0.9487,0.9513,0.3574673818276374
0,271.757,270.773,0.9397,0.9435,0.41260955576063185
0,271.748,270.699,0.8607,0.8651,1.0672440639769953
0,272.231,271.326,0.9258,0.9283,0.6057043434812093
0,271.46,270.585,0.9461,0.949,0.39463807722310884
0,271.46,270.436,0.9299,0.9336,0.44857902545721534
0,271.46,270.539,0.8483,0.8513,1.1328035567701509
0,271.461,270.59,0.9254,0.9282,0.6032585541443816
0,271.46,270.587,0.9464,0.9492,0.40142836748532884
0,271.46,270.455,0.9319,0.9355,0.4539947382643411
0,271.46,270.613,0.8414,0.844,1.1520315806111159
0,271.46,270.561,0.9159,0.919,0.6280374031906921
0,271.46,270.577,0.9469,0.9498,0.4220643644873633
0,271.46,270.465,0.9325,0.9359,0.45287111296926064
0,271.46,270.665,0.8445,0.8465,1.103585118261588
0,271.46,270.556,0.9173,0.9204,0.6440020802210745
0,271.46,270.523,0.9385,0.9419,0.5359869068438254
0,271.46,270.433,0.9257,0.9294,0.4734069738391805
0,271.46,270.696,0.8495,0.8512,1.0608337709615414
0,271.46,270.534,0.9101,0.9134,0.6733189213441901
0,271.46,270.466,0.9292,0.9327,0.6454707774826266
0,271.46,270.427,0.9245,0.9283,0.4839175457470186
0,271.46,270.719,0.8542,0.8556,1.022746350690603
0,271.46,270.53,0.9052,0.9085,0.7047236314133776
0,271.46,270.411,0.9175,0.9214,0.733546318059684
0,271.46,270.425,0.9225,0.9263,0.4947785431314465
0,271.46,270.738,0.8567,0.8579,0.9800072399851121
0,271.461,270.535,0.9056,0.9089,0.7109439003125431
0,271.46,270.356,0.894,0.8983,0.8461117710941044
0,271.46,270.427,0.922,0.9257,0.49956789525475065
0,271.466,270.769,0.8592,0.8602,0.9343096776167193
0,271.527,270.607,0.9116,0.9149,0.6907909428805963
0,271.46,270.401,0.8774,0.881,0.9264105989303179
0,271.476,270.451,0.9214,0.9251,0.5016159952685169
0,271.51,270.832,0.8647,0.8654,0.8942136713352676
0,271.763,270.838,0.9181,0.9213,0.6743480189463275
0,271.46,270.452,0.8695,0.8726,0.9697102986238931
0,271.519,270.493,0.9204,0.9244,0.5022896707846207
0,272.018,271.287,0.8708,0.8713,0.8804334813621372
0,272.33,271.376,0.9196,0.9225,0.6699645138757885
0,271.46,270.456,0.8661,0.8692,0.9929483054865831
0,271.618,270.596,0.9214,0.9257,0.49716610667251315
0,272.148,271.393,0.8775,0.8781,0.8818266686381181
0,272.491,271.52,0.9152,0.9187,0.6783491304369993
0,271.46,270.47,0.86,0.8631,1.02428775371814
