wind spd [m/s],Surface T[K],TOA T[K],transmittance,jakobian,TCWV [cm]
0,271.46,270.332,0.9293,0.9342,0.47579280386268497
0,271.46,270.199,0.9102,0.9164,0.6740520463155104
0,271.46,270.411,0.9539,0.9581,0.3595483676892722
0,271.46,270.361,0.9077,0.9121,0.6425224210102328
0,271.46,270.314,0.9251,0.9302,0.49969724625636686
0,271.46,270.274,0.8971,0.9023,0.7459942997863693
0,271.46,270.316,0.9443,0.9495,0.4231888565412246
0,271.46,270.38,0.8866,0.8905,0.7852763176008118
0,271.46,270.307,0.9221,0.9272,0.5144997017330077
0,271.46,270.405,0.8897,0.8934,0.751858942656259
0,271.46,270.222,0.9324,0.9385,0.4753543258911046
0,271.46,270.485,0.872,0.8751,0.8943961495515799
0,271.46,270.329,0.9239,0.9287,0.5008966874518822
0,271.46,270.492,0.8887,0.8919,0.7461536304446473
0,271.46,270.208,0.9258,0.9321,0.5206858101390385
0,271.46,270.541,0.8648,0.868,0.9557292755426164
0,271.46,270.378,0.9269,0.9313,0.466268399504418
0,271.46,270.493,0.892,0.8952,0.7589459703364555
0,271.46,270.212,0.92,0.9261,0.5716142617509548
0,271.46,270.549,0.8599,0.863,1.0015859136402336
0,271.461,270.473,0.9357,0.9392,0.4268818607781456
0,271.46,270.519,0.8973,0.9006,0.75029306643961
0,271.46,270.225,0.9127,0.9186,0.6405417242381446
0,271.46,270.568,0.858,0.8611,1.0420663529339786
0,271.646,270.693,0.9404,0.944,0.3927698041635014
0,271.46,270.522,0.9043,0.9075,0.7641510097739801
0,271.46,270.252,0.9046,0.9101,0.7152168171597844
0,271.46,270.614,0.8582,0.8608,1.0517771104301672
0,271.912,270.965,0.9408,0.9441,0.37378906150418334
0,271.463,270.467,0.8958,0.899,0.8716246118705164
0,271.47,270.298,0.8972,0.9023,0.7838947041038479
0,271.46,270.667,0.8556,0.8577,1.0419654010288935
0,271.959,271.01,0.9399,0.9432,0.3643834540847283
0,271.636,270.586,0.8713,0.8758,1.00838767570985
0,271.68,270.529,0.8888,0.8942,0.8492837513320042
0,271.559,270.803,0.8533,0.8548,1.0423462650344408
0,271.96,271.009,0.9399,0.9432,0.3527906063742461
0,271.85,270.822,0.8573,0.8612,1.0662764552625006
0,271.743,270.637,0.8781,0.8831,0.9114150601887496
0,271.681,270.922,0.8502,0.8515,1.1137646393008827
0,272.201,271.213,0.9364,0.9399,0.35234193124053587
0,271.971,271.015,0.8672,0.8702,1.039010518372737
0,271.878,270.797,0.8773,0.8819,0.9392772761340519
0,271.704,270.858,0.8341,0.8363,1.3512031121738821
0,272.339,271.355,0.9347,0.938,0.36249320614073105
0,272.006,271.117,0.8781,0.8804,0.9794807605043518
0,272.013,270.939,0.8772,0.8814,0.9482543988008137
0,271.799,270.876,0.8158,0.8186,1.5208736928512794
0,272.477,271.532,0.9355,0.9389,0.3767450148623638
0,272.098,271.267,0.8884,0.89,0.9155494995742686
0,272.34,271.235,0.8715,0.8756,0.9687977035990887
0,272.026,271.054,0.7991,0.8018,1.6075934187515617
0,272.801,271.874,0.9378,0.9408,0.38060617030280475
0,272.434,271.628,0.8996,0.9016,0.8479818286570847
0,272.521,271.412,0.8657,0.8695,0.9936813284862824
0,272.143,271.187,0.7975,0.7998,1.6332966405449363
0,273.167,272.234,0.9387,0.9415,0.38794430310044714
0,272.664,271.883,0.9055,0.9071,0.7946710650425988
0,272.789,271.689,0.8628,0.8676,1.01584740966589
0,272.512,271.534,0.7951,0.7982,1.6569387609428297
0,273.76,272.787,0.9376,0.941,0.4050856816547955
0,272.936,272.159,0.9074,0.9086,0.7635465220029264
0,273.238,272.113,0.8627,0.867,1.0264335935309201
0,272.868,271.871,0.7897,0.793,1.6907385294672495
0,274.246,273.216,0.933,0.9367,0.4204357247378055
0,273.547,272.736,0.907,0.9089,0.7481264244160851
0,273.893,272.635,0.8621,0.8682,0.9827800523114419
0,273.851,272.709,0.7847,0.7894,1.7236552237512306
0,274.388,273.312,0.9287,0.9328,0.4494823410644818
0,273.78,272.959,0.9057,0.9075,0.7414574803832095
0,274.092,272.835,0.8837,0.8896,0.8640863597660771
0,274.016,272.874,0.7848,0.7892,1.7388539409482344
0,271.46,270.294,0.9245,0.9297,0.5128342502281615
0,271.46,270.195,0.9132,0.9194,0.657194862669719
0,271.46,270.418,0.9544,0.9585,0.35343644363773563
0,271.46,270.293,0.8947,0.8997,0.7894189147160344
0,271.46,270.292,0.9201,0.9254,0.5354349854435511
0,271.46,270.232,0.9024,0.9082,0.7288566941820093
0,271.46,270.356,0.9484,0.9532,0.41537844217954156
0,271.46,270.369,0.8771,0.881,0.9152671911407056
0,271.46,270.297,0.9162,0.9214,0.5487738932255153
0,271.46,270.346,0.8914,0.8958,0.7643504662652385
0,271.46,270.246,0.9351,0.941,0.46945016901796227
0,271.46,270.5,0.8621,0.8652,1.0359725288452224
0,271.46,270.316,0.9187,0.9236,0.5306586347019625
0,271.46,270.484,0.8901,0.8933,0.7428370034619365
0,271.46,270.23,0.9284,0.9344,0.5149499064410377
0,271.46,270.532,0.8579,0.861,1.0637340478144932
0,271.46,270.36,0.9247,0.9292,0.4833884150041044
0,271.46,270.511,0.8933,0.8966,0.7304200720939363
0,271.46,270.218,0.9221,0.9282,0.5577726338759923
0,271.46,270.576,0.8568,0.8598,1.0564927880570838
0,271.46,270.439,0.9323,0.9361,0.43424829070069804
0,271.46,270.498,0.8934,0.8967,0.7541794598563222
0,271.46,270.215,0.9147,0.9207,0.6250853757399315
0,271.46,270.629,0.8576,0.86,1.0600939158632152
0,271.507,270.542,0.9389,0.9426,0.3996197988099912
0,271.46,270.537,0.9036,0.9069,0.7231698898196632
0,271.46,270.226,0.9067,0.9125,0.7085427745458439
0,271.46,270.638,0.8502,0.8525,1.152215843330801
0,271.959,270.973,0.9377,0.9414,0.3838307678972942
0,271.482,270.551,0.9114,0.9148,0.7498144116492381
0,271.56,270.355,0.8994,0.9047,0.7784086308780265
0,271.481,270.624,0.8369,0.8396,1.2932296451897438
0,272.221,271.238,0.9383,0.9417,0.3654238705368297
0,271.884,270.848,0.8944,0.8985,0.8803436953495842
0,271.855,270.664,0.8913,0.8972,0.8438461146262994
0,271.606,270.694,0.8232,0.8263,1.4483361290552839
0,272.303,271.321,0.9388,0.9422,0.35295146660684334
0,271.888,270.817,0.869,0.8734,1.0153059403567988
0,271.98,270.832,0.882,0.8872,0.9116279259482087
0,271.684,270.764,0.8108,0.8137,1.5556058898808465
0,272.309,271.312,0.9363,0.9398,0.3527360515568517
0,271.95,270.931,0.8628,0.8665,1.0507805927610347
0,272.059,270.963,0.8789,0.8834,0.9561714244925638
0,271.769,270.885,0.7997,0.8021,1.6251903045382474
0,272.273,271.281,0.9329,0.9364,0.36213146181417716
0,271.893,270.973,0.8707,0.8735,1.0161445039845414
0,271.996,270.928,0.8807,0.8849,0.9614673716304752
0,271.858,271.012,0.7882,0.7899,1.6771684010339925
0,272.506,271.553,0.9335,0.937,0.37808747125674935
0,272.073,271.202,0.8788,0.8808,0.9731417966379958
0,272.295,271.182,0.8754,0.8797,0.9819356253154746
0,272.154,271.35,0.7865,0.787,1.6762876211550328
0,273.32,272.363,0.9362,0.9391,0.38608077172123
0,272.435,271.58,0.8845,0.8871,0.9348127036245811
0,272.926,271.749,0.8696,0.875,1.0087986213436801
0,272.579,271.799,0.7872,0.7888,1.653514808828703
0,273.485,272.536,0.9387,0.9421,0.3959128754467632
0,273.005,272.154,0.89,0.8918,0.8735392310320037
0,273.203,272.015,0.8645,0.8696,1.0388422651975957
0,272.941,272.123,0.7828,0.784,1.695035103730632
0,274.241,273.214,0.933,0.9366,0.42665191477211895
0,273.85,272.98,0.8966,0.8987,0.7995007469421263
0,273.765,272.553,0.8623,0.8681,1.067844268939954
0,273.517,272.581,0.777,0.78,1.7540450612594518
0,274.512,273.431,0.9296,0.9335,0.46089525984918395
0,273.942,273.105,0.9038,0.9055,0.727240342012818
0,273.673,272.504,0.8567,0.8615,1.0954938740548503
0,273.757,272.77,0.7788,0.7821,1.7721021959588648
0,274.443,273.337,0.9269,0.9312,0.47828014663519147
0,273.968,273.159,0.9082,0.9097,0.6735033370213072
0,273.699,272.535,0.8559,0.861,1.0879089699336677
0,273.962,272.93,0.7815,0.7848,1.757950166468672
0,271.46,270.298,0.9218,0.927,0.5443447558544457
0,271.46,270.226,0.9198,0.9258,0.6167197768860928
0,271.46,270.421,0.9543,0.9585,0.35075265253679894
0,271.46,270.256,0.8899,0.8952,0.8602458535789491
0,271.46,270.299,0.916,0.9211,0.5703169277989936
0,271.46,270.219,0.9107,0.9166,0.6881904116084494
0,271.46,270.363,0.9485,0.9533,0.41047870577618256
0,271.46,270.321,0.8767,0.8812,0.9575344281686405
0,271.46,270.316,0.9191,0.924,0.5401687630332479
0,271.46,270.264,0.8965,0.9018,0.7591613853864471
0,271.46,270.266,0.9367,0.9424,0.4697560838818558
0,271.46,270.454,0.8618,0.8649,1.0434699923011423
0,271.46,270.332,0.9199,0.9247,0.5123228625473532
0,271.46,270.405,0.889,0.8927,0.7624864250279147
0,271.46,270.242,0.9292,0.9351,0.5190861303299291
0,271.46,270.531,0.8608,0.8638,1.0694482825429683
0,271.46,270.379,0.9268,0.9311,0.46490350935334696
0,271.46,270.522,0.8918,0.8951,0.7244203168258274
0,271.46,270.244,0.9256,0.9314,0.5392010523471318
0,271.46,270.541,0.854,0.8571,1.1792220075153086
0,271.46,270.451,0.9351,0.9387,0.4224246812112189
0,271.46,270.504,0.8923,0.8956,0.7399531440400138
0,271.46,270.23,0.9179,0.9238,0.5884112821401803
0,271.46,270.506,0.8382,0.8412,1.3365004869144914
0,271.521,270.529,0.9365,0.9405,0.40615363044464736
0,271.46,270.514,0.896,0.8993,0.7413552538328585
0,271.46,270.238,0.9113,0.917,0.673342170873846
0,271.46,270.502,0.8243,0.8272,1.4461335420352515
0,271.935,270.936,0.9371,0.941,0.3882028011604371
0,271.49,270.573,0.9063,0.9096,0.7057779669917863
0,271.572,270.349,0.9029,0.9084,0.7638827734241561
0,271.484,270.578,0.8137,0.8168,1.531736168824216
0,272.343,271.338,0.938,0.9416,0.3722967578123009
0,271.863,270.912,0.912,0.9153,0.7298325625978292
