wind spd [m/s],Surface T[K],TOA T[K],transmittance,jakobian,TCWV [cm]
0,271.46,270.243,0.8843,0.8898,0.8100951395226709
0,271.46,270.555,0.9578,0.9609,0.25044010951752127
0,271.46,270.581,0.9681,0.9709,0.07386334783029883
0,271.46,270.387,0.9489,0.9534,0.4062732941422403
0,271.46,270.388,0.8638,0.8674,0.9306301846196204
0,271.46,270.465,0.95,0.9536,0.38673716304752387
0,271.46,270.573,0.9673,0.9702,0.08616265493313212
0,271.46,270.299,0.9402,0.9456,0.43859396429973546
0,271.46,270.461,0.8618,0.8649,0.9526343858504178
0,271.46,270.249,0.9149,0.9206,0.6149900832598288
0,271.46,270.546,0.9653,0.9685,0.11340692285336992
0,271.46,270.222,0.932,0.9381,0.4667715274839012
0,271.46,270.499,0.8618,0.8648,0.9469295834969129
0,271.46,270.259,0.9014,0.9068,0.6884782265095626
0,271.46,270.52,0.9636,0.9671,0.1289986386788557
0,271.46,270.213,0.9271,0.9332,0.49819535723208236
0,271.46,270.527,0.8633,0.8664,0.9377179770869768
0,271.46,270.339,0.8993,0.9038,0.7196343807518366
0,271.46,270.529,0.964,0.9674,0.11615021439533377
0,271.46,270.243,0.9236,0.9294,0.5215547613099274
0,271.46,270.548,0.8636,0.8667,0.9318472159198097
0,271.46,270.427,0.9094,0.913,0.695125246643859
0,271.46,270.55,0.9646,0.9678,0.10607694778543131
0,271.46,270.301,0.9234,0.9286,0.513292765623327
0,271.46,270.566,0.8646,0.8677,0.9286644266900522
0,271.46,270.485,0.9252,0.9286,0.6541889432171027
0,271.46,270.537,0.9627,0.966,0.1422105917923042
0,271.46,270.347,0.9226,0.9273,0.49695181331035576
0,271.46,270.575,0.8627,0.8658,0.931241759418354
0,271.46,270.509,0.9318,0.9352,0.6079805030260078
0,271.46,270.329,0.9424,0.9474,0.2658014714504954
0,271.46,270.387,0.9218,0.926,0.4874595300127974
0,271.46,270.587,0.863,0.8658,0.9329708922007006
0,271.46,270.542,0.9359,0.9392,0.5558268623841985
0,271.46,270.274,0.9307,0.9363,0.3676150367352767
0,271.46,270.403,0.9197,0.9237,0.49995615220284206
0,271.46,270.595,0.8647,0.8674,0.9306492533128031
0,271.46,270.564,0.9369,0.94,0.5409456338301051
0,271.46,270.324,0.9332,0.9382,0.41718191227381424
0,271.46,270.387,0.9154,0.9195,0.5345444162889469
0,271.46,270.61,0.8692,0.8719,0.9201576991123371
0,271.46,270.565,0.9359,0.9389,0.5450629929690567
0,271.46,270.331,0.9316,0.9365,0.49713046759086943
0,271.46,270.364,0.9123,0.9167,0.5587766974451012
0,271.46,270.617,0.8733,0.8759,0.9073536324840799
0,271.46,270.523,0.9239,0.9273,0.6387443214553391
0,271.46,270.303,0.9214,0.9265,0.5741139430896383
0,271.46,270.34,0.9146,0.9192,0.5479633717936297
0,271.46,270.619,0.8775,0.88,0.8939150474422968
0,271.46,270.393,0.8939,0.8977,0.8413955836090816
0,271.46,270.308,0.9124,0.9174,0.6504616255296152
