wind spd [m/s],Surface T[K],TOA T[K],transmittance,jakobian,TCWV [cm]
0,273.325,272.278,0.9431,0.9471,0.5225758031539823
0,272.657,271.645,0.922,0.9261,0.5640119714683403
0,272.836,271.739,0.9356,0.9404,0.6061285454258079
0,272.48,271.512,0.9398,0.9434,0.4752344582502689
0,272.722,271.646,0.935,0.9398,0.6015337041701294
0,272.046,271.086,0.9263,0.9296,0.5481260675154105
0,271.944,270.873,0.9298,0.9344,0.632267695900231
0,271.613,270.718,0.9391,0.9421,0.47826938862914464
0,272.16,271.051,0.921,0.9258,0.6559128754467634
0,271.616,270.671,0.9246,0.9281,0.5447671223098612
0,271.561,270.5,0.9255,0.9299,0.649546787129142
0,271.492,270.636,0.9411,0.9437,0.4621655203356906
0,271.477,270.404,0.9136,0.9177,0.6909120851666982
0,271.667,270.715,0.9255,0.929,0.5426563097489969
0,271.688,270.622,0.9238,0.9285,0.6635564132501924
0,271.757,270.862,0.9378,0.9407,0.5183049767249776
0,271.487,270.432,0.9087,0.9125,0.712007464322679
0,271.992,271.02,0.9258,0.9293,0.5433879561318086
0,272.32,271.223,0.9227,0.9272,0.6730002600276345
0,272.461,271.436,0.9276,0.9312,0.6276007097224843
0,272.218,271.136,0.9054,0.9097,0.7284516629022143
0,272.617,271.619,0.9285,0.9324,0.5342449256371953
0,272.572,271.463,0.9212,0.9256,0.6769900526683423
0,272.988,271.854,0.9175,0.9225,0.6795960394222289
0,272.648,271.554,0.9017,0.9066,0.7499780251156103
0,272.786,271.787,0.93,0.9338,0.525332605935768
0,272.894,271.761,0.916,0.9211,0.6910308311196993
0,273.11,271.972,0.9164,0.9214,0.6684543651501786
0,272.935,271.855,0.8982,0.9027,0.7689409227412011
0,272.815,271.827,0.9316,0.9353,0.5190052668342401
0,272.776,271.643,0.9106,0.9158,0.7022946673940644
0,272.991,271.861,0.9125,0.9175,0.6601143611732856
0,272.95,271.902,0.8943,0.8984,0.7848179041772676
0,272.989,271.993,0.9303,0.9339,0.520882054524226
0,272.83,271.689,0.9079,0.9131,0.7021021959588647
0,273.082,271.948,0.9101,0.915,0.6629427990190331
0,273.127,272.086,0.8918,0.8955,0.7890476870287
0,273.309,272.289,0.9278,0.9314,0.5263948953006379
0,273.193,272.033,0.9087,0.9138,0.6923868497397174
0,273.474,272.272,0.8993,0.9044,0.6999164342563465
0,273.278,272.202,0.8882,0.8922,0.7888639851529319
0,273.568,272.553,0.9296,0.9336,0.5228591822895688
0,273.351,272.186,0.9107,0.9157,0.6827416090102125
0,273.546,272.374,0.9022,0.9069,0.6718194286530058
0,273.583,272.462,0.8936,0.8978,0.7755171745703173
0,273.623,272.61,0.9296,0.9336,0.5251956070625544
0,273.451,272.311,0.9166,0.9212,0.6599484023596233
0,273.557,272.428,0.9073,0.9116,0.6219247143519959
0,273.665,272.545,0.9028,0.9078,0.7543070773403763
0,273.81,272.78,0.9284,0.9324,0.5340301734027421
0,273.647,272.515,0.9194,0.9244,0.6476812163174988
0,273.693,272.575,0.9103,0.9153,0.5968014561547521
0,273.881,272.744,0.9052,0.9103,0.7482833587412625
0,273.908,272.882,0.9295,0.9334,0.5393059301596366
0,273.901,272.742,0.9154,0.9207,0.6420307138523349
0,273.89,272.795,0.9157,0.9203,0.562918835688028
0,274.152,272.962,0.9001,0.9054,0.8050601377636605
0,274.25,273.199,0.9275,0.9314,0.5583707994065252
0,274.339,273.148,0.9091,0.9142,0.6540276750980203
0,274.178,273.115,0.9226,0.9267,0.5362430595565255
0,274.473,273.228,0.8943,0.8997,0.8768081862817579
0,274.689,273.61,0.9265,0.931,0.5818014306618469
0,274.921,273.709,0.9062,0.9119,0.657190070003518
0,274.698,273.611,0.9243,0.9289,0.5357140817710433
0,275.205,273.871,0.8911,0.8977,0.9201591267150352
0,275.174,274.037,0.92,0.9247,0.6310715687824079
0,275.32,274.109,0.9046,0.9098,0.6521613394992174
0,275.233,274.118,0.924,0.9284,0.5398158902377469
0,275.22,273.849,0.8881,0.895,0.9561653061952858
0,275.6,274.385,0.9087,0.9136,0.6832173066235667
0,275.783,274.582,0.9066,0.9121,0.6310812560864312
0,275.387,274.269,0.9215,0.9258,0.5409775509475713
0,273.916,272.875,0.9456,0.9497,0.49450785946271153
0,273.261,272.232,0.9255,0.9293,0.5639966757251457
0,273.225,272.073,0.9297,0.9349,0.639512524664386
0,272.654,271.651,0.9362,0.9402,0.487751474764573
0,273.697,272.622,0.9404,0.945,0.5521626141444835
0,272.95,271.931,0.9266,0.9305,0.5644412719940041
0,272.279,271.161,0.9236,0.9284,0.6554111750699781
0,271.66,270.701,0.9284,0.932,0.5139326885327813
0,272.922,271.841,0.9339,0.9386,0.5987412113208894
0,271.545,270.613,0.9263,0.9297,0.5560439089801308
0,271.462,270.38,0.9162,0.9205,0.6814955157979534
0,271.46,270.548,0.9307,0.934,0.514188892231292
0,271.471,270.443,0.9265,0.9303,0.6340501598405164
0,271.462,270.531,0.9268,0.9302,0.5499969918371718
0,271.461,270.392,0.9143,0.9184,0.7000275833235612
0,271.539,270.663,0.9357,0.9385,0.5116704481142899
0,271.46,270.435,0.9218,0.9255,0.6587706301336339
0,271.651,270.717,0.9282,0.9315,0.5472195398020732
0,271.84,270.741,0.9112,0.9161,0.7168059938918998
0,272.203,271.28,0.9335,0.9363,0.5505496780246057
0,271.526,270.498,0.9149,0.919,0.6796901082428761
0,272.307,271.328,0.9266,0.9298,0.546536329939378
0,272.536,271.403,0.9131,0.9177,0.7093369295325112
0,273.04,271.972,0.9222,0.9265,0.6522192083943039
0,272.587,271.505,0.9105,0.915,0.6985652083025296
0,273.024,272.003,0.9254,0.9293,0.5425089607562216
0,272.975,271.828,0.9153,0.9204,0.7011234723376485
0,273.451,272.255,0.9105,0.9158,0.7334434286937944
0,273.257,272.157,0.9068,0.9111,0.7216133440063631
0,273.559,272.508,0.9248,0.929,0.5385384407519388
0,273.065,271.915,0.9148,0.9199,0.6993236732217424
0,273.629,272.427,0.908,0.913,0.7233890268338322
0,273.544,272.457,0.9028,0.9067,0.7485733660322332
0,273.577,272.532,0.9235,0.9278,0.538815038774709
0,273.152,272.001,0.914,0.9191,0.6945868874692173
0,273.442,272.258,0.9048,0.9098,0.7174644756364302
0,273.565,272.49,0.8955,0.8996,0.7842881616046256
0,273.501,272.46,0.9208,0.9244,0.5447727307490327
0,273.376,272.22,0.9129,0.9177,0.6887464628593863
0,273.527,272.309,0.8932,0.8983,0.7524649600016315
0,273.753,272.673,0.8921,0.8966,0.7878660908669118
0,273.529,272.505,0.9236,0.9275,0.5387755247714561
0,273.587,272.429,0.9122,0.9168,0.6766182131512801
0,273.579,272.4,0.8985,0.9032,0.7150158820800171
0,273.74,272.636,0.8884,0.8932,0.7926429514666069
0,273.727,272.704,0.926,0.93,0.5416232352536289
0,273.693,272.544,0.9138,0.9191,0.655160834739692
0,273.639,272.515,0.9083,0.9131,0.6371783942528795
0,273.78,272.654,0.8951,0.9001,0.7771152228334856
0,273.857,272.838,0.9285,0.9324,0.5583159896600777
0,273.743,272.61,0.9156,0.9207,0.6395145640968118
0,273.835,272.746,0.9132,0.9177,0.5788595493874055
0,274.181,273.038,0.9044,0.9092,0.7479041772674664
0,274.245,273.206,0.9293,0.9331,0.58223853201654
0,274.369,273.225,0.9202,0.9249,0.6295213452096281
0,274.205,273.118,0.9165,0.9207,0.5467219182901399
0,274.4,273.226,0.8988,0.9036,0.7772834760086268
0,274.697,273.596,0.9216,0.9263,0.6342161186541786
0,274.778,273.614,0.9212,0.9265,0.631674221064278
0,274.383,273.339,0.9249,0.9286,0.518725609662831
0,274.897,273.636,0.892,0.8982,0.8738731880917541
0,275.261,274.065,0.9068,0.912,0.7013924734746321
0,275.315,274.091,0.9157,0.9212,0.6457475794486396
0,274.698,273.659,0.9284,0.9325,0.5120120530456373
