wind spd [m/s],Surface T[K],TOA T[K],transmittance,jakobian,TCWV [cm]
0,271.969,270.789,0.9226,0.9283,0.7594843804969077
0,271.494,270.612,0.9471,0.95,0.39025003441542216
0,271.461,270.59,0.9164,0.9192,0.7318920324473698
0,271.46,270.609,0.9639,0.9665,0.15949778976510837
0,271.749,270.521,0.9111,0.9173,0.8500914175584937
0,271.462,270.538,0.9372,0.9405,0.47563785798412306
0,271.46,270.587,0.9058,0.9086,0.7738189391892236
0,271.461,270.594,0.9616,0.9644,0.18240688716330247
0,271.537,270.284,0.9004,0.9063,0.9388131013139045
0,271.46,270.483,0.9245,0.9279,0.5226059867538864
0,271.46,270.579,0.8965,0.8994,0.82113224189708
0,271.461,270.587,0.96,0.9628,0.19447522854389623
0,271.48,270.234,0.8916,0.8973,1.0213132415248836
0,271.46,270.484,0.9278,0.9312,0.525212942238175
0,271.46,270.563,0.8904,0.8935,0.8619986437774368
0,271.461,270.59,0.959,0.9618,0.20041507548449272
0,271.46,270.235,0.8825,0.888,1.10294412465011
0,271.46,270.495,0.9268,0.9302,0.5285767310957361
0,271.46,270.557,0.886,0.8892,0.8872937751423778
0,271.461,270.6,0.9586,0.9613,0.2036029632953149
0,271.46,270.261,0.8724,0.8775,1.1881069988222277
0,271.46,270.514,0.9286,0.932,0.5274601418425252
0,271.46,270.555,0.8831,0.8862,0.8974794654647612
0,271.461,270.605,0.9571,0.9597,0.22014632927656236
0,271.513,270.327,0.8619,0.8666,1.268617417772634
0,271.46,270.523,0.9352,0.9387,0.5225272646622445
0,271.46,270.552,0.8814,0.8846,0.8962379609754606
0,271.461,270.596,0.9526,0.9553,0.2714739997858596
0,271.784,270.582,0.8512,0.8571,1.3428119694289082
0,271.461,270.511,0.9351,0.9385,0.5599000168253174
0,271.46,270.549,0.8825,0.8857,0.8812519565804837
0,271.461,270.574,0.9472,0.9502,0.31927024009218236
0,271.917,270.716,0.8409,0.8466,1.4082866728189547
0,271.463,270.45,0.9241,0.9277,0.6665177711043018
0,271.46,270.554,0.887,0.8902,0.8507904840083006
0,271.461,270.545,0.9378,0.9411,0.36315372731768747
0,271.706,270.556,0.8342,0.8394,1.4662448950457088
0,271.464,270.389,0.9051,0.9091,0.7642870909026019
0,271.462,270.577,0.8945,0.8975,0.8038231710115074
0,271.461,270.511,0.9304,0.9338,0.43410940535249043
0,271.698,270.571,0.8281,0.8331,1.515968806881045
0,271.57,270.503,0.8867,0.891,0.86262984811327
0,271.475,270.602,0.8983,0.9011,0.7678220901123217
0,271.461,270.504,0.9355,0.9389,0.5055711175579838
0,271.936,270.791,0.8227,0.8276,1.5637987488082068
0,272.045,270.995,0.8699,0.8739,0.9512877996053699
0,271.919,271.01,0.8982,0.9009,0.7490032274018141
0,271.769,270.726,0.9256,0.93,0.5847584547220508
0,272.204,271.04,0.8191,0.8237,1.6064534779970736
0,272.183,271.144,0.86,0.8635,0.9765726828223705
0,272.161,271.232,0.8965,0.8991,0.7345971866029685
0,271.951,270.823,0.9086,0.9137,0.6684108742536954
0,272.616,271.4,0.8128,0.8171,1.6535735444825703
0,272.559,271.549,0.877,0.881,0.8861644904223155
0,272.287,271.365,0.8984,0.9008,0.7032498355707607
0,272.256,271.092,0.8959,0.901,0.7247909836692449
0,272.813,271.584,0.8088,0.8146,1.6886083932841494
0,272.63,271.674,0.8975,0.901,0.7514242886204769
0,272.42,271.511,0.902,0.9048,0.670745106636823
0,272.529,271.367,0.8847,0.8893,0.7517573789214462
0,272.98,271.755,0.809,0.8146,1.7025810546924796
0,272.688,271.747,0.908,0.9112,0.6967649503143276
0,272.734,271.821,0.9054,0.9083,0.639172143392494
0,272.933,271.786,0.882,0.8871,0.7422676449144202
0,273.334,272.074,0.8084,0.8135,1.7215923888381863
0,273.691,272.666,0.9109,0.9149,0.7164607689679963
0,273.392,272.464,0.915,0.9175,0.5786621833143836
0,273.404,272.254,0.8855,0.89,0.7193724666425336
0,273.933,272.598,0.8106,0.8173,1.7356963387089372
0,274.152,273.062,0.9066,0.9108,0.7494844314827185
0,273.968,273.044,0.9288,0.9316,0.5228711639550714
0,273.566,272.427,0.8897,0.894,0.7210932377519337
0,271.731,270.707,0.9393,0.9436,0.6030463002146502
0,271.463,270.599,0.947,0.9497,0.38857769982613843
0,271.461,270.538,0.9151,0.9184,0.7766155109033155
0,271.461,270.604,0.964,0.9667,0.1574736530823472
0,271.577,270.511,0.9297,0.9343,0.681870108548791
0,271.46,270.576,0.9434,0.9464,0.42712230986116556
0,271.46,270.532,0.9035,0.9068,0.8300397179464956
0,271.461,270.609,0.9637,0.9663,0.16028169660383515
0,271.501,270.403,0.9222,0.9267,0.7503810169629792
0,271.46,270.48,0.9225,0.9259,0.519220783855853
0,271.46,270.523,0.8949,0.8981,0.8689240464378762
0,271.461,270.606,0.9624,0.965,0.1722339432935814
0,271.46,270.346,0.9162,0.9208,0.8198759515226912
0,271.46,270.475,0.9213,0.9246,0.5406170302804729
0,271.46,270.525,0.8902,0.8935,0.8963388618947349
0,271.461,270.586,0.9589,0.9618,0.20515803052010625
0,271.464,270.338,0.9081,0.9127,0.8888457832185302
0,271.46,270.474,0.919,0.9224,0.5520684433522152
0,271.46,270.531,0.886,0.8892,0.917789867079992
0,271.461,270.579,0.9562,0.9591,0.2339813289961404
0,271.518,270.387,0.8991,0.9036,0.9526583491814227
0,271.46,270.523,0.9275,0.9309,0.5278501832939894
0,271.46,270.536,0.8816,0.8848,0.9381482973288534
0,271.461,270.586,0.954,0.9569,0.25670952873815217
0,271.614,270.496,0.8923,0.8971,1.0047276083066083
0,271.46,270.536,0.934,0.9374,0.5238528957391158
0,271.46,270.535,0.877,0.8802,0.9559448945358507
0,271.461,270.563,0.9479,0.951,0.323199104689165
0,271.486,270.401,0.8869,0.8908,1.0479508292842101
0,271.46,270.516,0.9347,0.9381,0.5708491686763575
0,271.46,270.534,0.8724,0.8756,0.9696855705057283
0,271.461,270.513,0.934,0.9375,0.4020571754880617
0,271.652,270.574,0.8833,0.8881,1.0792446452152367
0,271.462,270.425,0.917,0.9208,0.7058535279631679
0,271.46,270.53,0.8698,0.873,0.972389093115386
0,271.461,270.53,0.938,0.9415,0.4520946500588886
0,272.031,270.93,0.8799,0.8845,1.1012744413229798
0,271.469,270.4,0.8988,0.9027,0.8026424416085005
0,271.464,270.533,0.8719,0.8751,0.9617047615648566
0,271.461,270.49,0.9389,0.9424,0.5122923220467743
0,271.896,270.83,0.879,0.8833,1.1157494659236336
0,271.568,270.532,0.8806,0.8848,0.8985276827458918
0,271.479,270.541,0.8737,0.8771,0.9486383729408105
0,271.46,270.377,0.9152,0.9195,0.6364963060780184
0,271.958,270.904,0.8783,0.8824,1.1313702436611892
0,271.991,270.96,0.8709,0.8748,0.9629734924770437
0,271.574,270.633,0.877,0.8805,0.9282145278968864
0,271.669,270.559,0.8946,0.8997,0.7592879831542881
0,272.073,271.02,0.8774,0.8814,1.1413787582915675
0,272.004,270.994,0.8616,0.8651,0.9928511775172971
0,272.09,271.107,0.8819,0.8851,0.8968557050572826
0,271.923,270.865,0.8655,0.8697,0.8888493012394653
0,272.602,271.511,0.8784,0.8828,1.1354799549285433
0,272.249,271.24,0.8642,0.8673,0.9563019991536356
0,272.094,271.132,0.8862,0.8892,0.8625741206222308
0,271.926,270.958,0.8781,0.8814,0.8738403532296963
0,272.725,271.65,0.8799,0.8845,1.1190586999638001
0,272.619,271.652,0.8885,0.892,0.8284538043062615
0,272.756,271.761,0.8878,0.8915,0.8314230649610215
0,272.811,271.79,0.8886,0.8925,0.8283100243202316
0,273.003,271.943,0.8831,0.8871,1.0949716773821847
0,273.371,272.374,0.9023,0.9054,0.7338458087114356
0,273.558,272.514,0.8889,0.8928,0.8001598405163843
0,273.566,272.478,0.8888,0.8929,0.835337143672916
0,273.775,272.673,0.8853,0.89,1.0697489968541753
0,273.867,272.834,0.906,0.91,0.7152232413719263
0,273.824,272.798,0.8965,0.9004,0.7414560527805112
0,273.749,272.639,0.8894,0.8942,0.8524772985678085
0,274.101,273.003,0.887,0.8913,1.0361378758291566
0,274.307,273.232,0.9021,0.9059,0.7440773862634029
0,273.861,272.885,0.9111,0.9145,0.6409708718063764
0,273.742,272.611,0.8906,0.8956,0.8781664992632552
0,271.843,270.869,0.9439,0.9476,0.5167196749144713
0,271.462,270.599,0.944,0.9468,0.4167201847725778
0,271.46,270.51,0.9156,0.919,0.8075715458387931
0,271.461,270.608,0.9653,0.9679,0.14102053198594833
0,271.698,270.718,0.9412,0.945,0.5509770410894649
0,271.46,270.6,0.9447,0.9474,0.40670784620640077
0,271.46,270.511,0.9073,0.9106,0.8483703915200402
0,271.461,270.602,0.9639,0.9665,0.15651639448741417
0,271.471,270.478,0.9358,0.9394,0.5956225112551177
0,271.46,270.536,0.931,0.9344,0.48220890926055276
0,271.46,270.519,0.8978,0.9011,0.8764253338295953
0,271.461,270.6,0.9627,0.9654,0.16846609188662798
0,271.46,270.452,0.9309,0.9345,0.6365258778481948
0,271.46,270.49,0.9204,0.9238,0.5331692779899353
0,271.46,270.533,0.8917,0.895,0.8969891859095613
0,271.461,270.582,0.9594,0.9622,0.2069297874401554
0,271.46,270.455,0.9284,0.932,0.6773719363901026
0,271.46,270.492,0.9182,0.9215,0.5548318742893852
0,271.46,270.544,0.8875,0.8907,0.9124442597625084
0,271.461,270.542,0.9522,0.9555,0.28128596411618656
0,271.561,270.566,0.9275,0.9316,0.7195435750230711
0,271.46,270.53,0.9258,0.9292,0.5294753560084229
0,271.46,270.553,0.884,0.8872,0.9253918514477422
0,271.461,270.515,0.9433,0.9468,0.3370096312196317
0,271.614,270.612,0.9216,0.9257,0.767384835800197
0,271.461,270.557,0.9351,0.9383,0.5103888177920085
0,271.46,270.553,0.8802,0.8834,0.9407868130299338
0,271.461,270.456,0.9287,0.9322,0.41689955285444064
0,271.629,270.614,0.9125,0.9167,0.8100497621511933
0,271.463,270.532,0.9351,0.9386,0.5718356931266029
0,271.46,270.556,0.876,0.8791,0.9568552461849869
0,271.461,270.497,0.9357,0.9392,0.4634606618977939
0,271.689,270.677,0.907,0.9112,0.8377708493726196
0,271.464,270.425,0.9137,0.9175,0.7280055880448472
0,271.462,270.557,0.8715,0.8747,0.9733759234804955
0,271.461,270.481,0.94,0.9435,0.504593464638791
0,271.783,270.774,0.9037,0.9077,0.859145375841903
0,271.469,270.411,0.8952,0.8989,0.8250698760534944
0,271.466,270.562,0.8672,0.8704,0.9862225632606447
0,271.461,270.35,0.9132,0.9177,0.6454659848164257
0,272.391,271.341,0.9016,0.9053,0.8643588279381846
0,271.559,270.531,0.88,0.8841,0.9076809104026348
0,271.487,270.585,0.8673,0.8704,0.9837331810557121
0,271.461,270.371,0.8923,0.8964,0.7643049869221396
0,272.059,271.059,0.9032,0.9067,0.853743837090138
0,271.911,270.885,0.87,0.8739,0.9643934473036154
0,271.698,270.779,0.8693,0.8723,0.9672877078309107
0,271.596,270.562,0.8618,0.8662,0.9075700162644738
0,272.172,271.19,0.9058,0.9091,0.8349568405112857
0,272.242,271.204,0.861,0.8645,1.0055899823079237
0,272.211,271.238,0.8721,0.875,0.9476273753014535
0,271.986,270.947,0.8646,0.8685,0.95539088271734
0,272.383,271.406,0.9075,0.9105,0.8200970259976652
0,272.432,271.394,0.855,0.8581,1.0076472597676067
0,272.306,271.323,0.8748,0.8776,0.9298397006113197
0,272.176,271.12,0.8648,0.8686,0.9848594066271357
0,272.807,271.822,0.9111,0.9147,0.799203040793747
0,272.885,271.829,0.8662,0.8703,0.9543543411868477
0,272.774,271.75,0.8784,0.8824,0.9079897314577355
0,272.348,271.272,0.8639,0.8676,1.0134879393064913
0,273.148,272.149,0.9119,0.9154,0.7934097270729555
0,273.381,272.343,0.8851,0.8884,0.8648882645959628
0,273.391,272.325,0.8808,0.8844,0.8861040722366967
0,272.82,271.689,0.8668,0.8718,1.028983801807957
0,273.611,272.6,0.915,0.919,0.7679971244002795
0,273.672,272.649,0.8921,0.8961,0.8116221135657946
0,273.466,272.423,0.8823,0.8855,0.8627627681216318
0,273.552,272.362,0.8723,0.8769,1.0224346744301063
0,274.243,273.207,0.9169,0.9205,0.7505283659557546
0,274.223,273.168,0.8908,0.8945,0.8116667261501126
0,273.627,272.612,0.8944,0.8984,0.78587254567054
0,273.681,272.499,0.8762,0.8812,1.0078935212330409
0,271.601,270.658,0.9457,0.9492,0.46348539001595856
0,271.462,270.557,0.9365,0.9396,0.5048835739013833
0,271.46,270.53,0.9162,0.9195,0.8048667485838692
0,271.461,270.586,0.9638,0.9666,0.15948504331244615
0,271.505,270.57,0.9446,0.9481,0.4794057093910765
0,271.46,270.602,0.9419,0.9445,0.42991021398744733
0,271.46,270.554,0.9103,0.9135,0.8251782209011231
0,271.461,270.568,0.9614,0.9644,0.1819544900654148
0,271.462,270.53,0.9437,0.9472,0.49468462726823137
0,271.46,270.59,0.9401,0.9429,0.43939867334920696
0,271.46,270.575,0.9045,0.9074,0.8360178042450785
0,271.461,270.572,0.9607,0.9636,0.19572958145748037
0,271.46,270.505,0.9383,0.9417,0.5347327068876732
0,271.46,270.516,0.9224,0.9257,0.5085036174432656
0,271.46,270.588,0.8973,0.9001,0.8486763063839333
0,271.461,270.54,0.9557,0.959,0.2561745346270133
0,271.46,270.512,0.9364,0.9398,0.5545891308448858
0,271.46,270.51,0.9186,0.922,0.5460242794430309
0,271.46,270.598,0.8932,0.896,0.8597669948453344
0,271.461,270.411,0.9333,0.9373,0.36032554440099324
0,271.474,270.545,0.9367,0.9401,0.5708166397291633
0,271.46,270.525,0.9213,0.9247,0.5391603146844233
0,271.46,270.611,0.8896,0.8922,0.8693459540209959
0,271.461,270.428,0.9275,0.9313,0.42899221446671393
0,271.52,270.597,0.9359,0.9392,0.5877261348166805
0,271.461,270.568,0.9339,0.937,0.5015978953057364
0,271.46,270.618,0.8855,0.888,0.8789045188723978
0,271.461,270.465,0.9329,0.9363,0.4660550748726629
0,271.573,270.655,0.9346,0.9379,0.6009789785502695
0,271.462,270.54,0.9343,0.9376,0.56940519953297
0,271.46,270.626,0.8826,0.885,0.8853682450174116
0,271.461,270.487,0.942,0.9454,0.4810290976021373
0,271.689,270.78,0.9344,0.9375,0.6118313083468871
0,271.468,270.419,0.9083,0.9121,0.7491772929593694
0,271.461,270.623,0.88,0.8825,0.8981476345133149
0,271.461,270.345,0.9181,0.9228,0.6126763981583925
0,271.649,270.75,0.9329,0.9359,0.6298930317692586
0,271.485,270.431,0.8932,0.8969,0.838112046417482
0,271.464,270.62,0.877,0.8795,0.9211164872815896
0,271.461,270.341,0.8994,0.9039,0.7164134031499033
0,271.706,270.809,0.9301,0.9331,0.6406970780031919
0,271.55,270.53,0.8801,0.8841,0.907090749644374
0,271.487,270.635,0.8738,0.8764,0.9478876068790056
0,271.461,270.393,0.8787,0.8824,0.8293450362764044
0,272.275,271.36,0.9303,0.933,0.63838767570985
0,271.922,270.906,0.8723,0.8761,0.9570973777997581
0,271.82,270.919,0.8689,0.8715,0.974126179684194
0,271.506,270.474,0.8783,0.882,0.8761206936109682
0,272.481,271.566,0.9301,0.9332,0.6327690393763417
0,272.354,271.322,0.8637,0.867,1.0084757791906513
0,272.18,271.231,0.8655,0.8681,0.9833342170873847
0,271.954,270.871,0.8778,0.8823,0.9088879994697475
0,272.635,271.723,0.9298,0.9328,0.624874906313573
0,272.758,271.71,0.8578,0.862,1.031472929083836
0,272.404,271.428,0.8671,0.8697,0.9722433246827409
0,272.275,271.164,0.8788,0.8832,0.9342228487811841
0,272.79,271.882,0.9311,0.9339,0.6065263877063014
0,272.823,271.802,0.8588,0.8626,1.0087230603722985
0,272.597,271.603,0.8714,0.8753,0.9549667827443622
0,272.473,271.359,0.8813,0.8854,0.9445003135627354
0,273.142,272.231,0.9324,0.935,0.5919456695201725
0,273.071,272.074,0.866,0.8692,0.9587697123890422
0,273.062,272.017,0.8743,0.8781,0.9421272809777042
0,273.011,271.891,0.8859,0.8906,0.919486674858387
0,274.121,273.172,0.9338,0.9368,0.5720321414550331
0,273.995,272.958,0.8764,0.8801,0.9016617805264795
0,274.255,273.089,0.8749,0.8797,0.9325153849683634
0,273.802,272.641,0.8884,0.8937,0.9055076402237257
0,273.925,272.994,0.9343,0.9372,0.5591735200093815
0,274.49,273.414,0.8774,0.8808,0.8977161415977933
0,274.002,272.902,0.8838,0.8882,0.8894629664564351
0,273.856,272.708,0.8891,0.8942,0.9007927273839691
0,271.515,270.654,0.9568,0.9595,0.31983541780322544
0,271.47,270.408,0.9036,0.9074,0.704542937700438
0,271.462,270.537,0.9211,0.9245,0.7636572121978455
0,271.461,270.588,0.9642,0.967,0.1585609254944349
0,271.466,270.596,0.9534,0.9562,0.35900526683423994
0,271.46,270.421,0.9107,0.9144,0.6591821366113811
