wind spd [m/s],Surface T[K],TOA T[K],transmittance,jakobian,TCWV [cm]
0,271.46,270.42,0.8356,0.8386,1.1222719277225148
0,271.46,270.204,0.9044,0.9104,0.7506076488913134
0,271.459,270.389,0.8754,0.8791,0.8639736811245429
0,271.46,270.305,0.9413,0.9466,0.5594677591226362
0,271.46,270.502,0.8408,0.8438,1.143911580407173
0,271.46,270.194,0.9009,0.907,0.7654529324488994
0,271.459,270.419,0.8881,0.8916,0.7955711175579838
0,271.46,270.263,0.9346,0.9403,0.6422224205003746
0,271.46,270.531,0.8374,0.8404,1.1698100778553329
0,271.46,270.19,0.8991,0.9052,0.768700473658181
0,271.459,270.48,0.905,0.9083,0.6688255418517026
0,271.46,270.217,0.9244,0.9305,0.7239181065909357
0,271.46,270.547,0.8369,0.8399,1.1879712236084699
0,271.46,270.192,0.8987,0.9048,0.7603662820637018
0,271.459,270.496,0.9113,0.9146,0.5964896779226343
0,271.46,270.16,0.9076,0.9141,0.7840472026634988
0,271.46,270.551,0.8377,0.8406,1.1951818918794899
0,271.46,270.19,0.9,0.9062,0.7438615123411154
0,271.459,270.457,0.9104,0.9137,0.6138975083234336
0,271.46,270.14,0.8939,0.9006,0.8879098876782591
0,271.46,270.552,0.8365,0.8394,1.1957567568945562
0,271.46,270.193,0.9036,0.9097,0.714973206956504
0,271.459,270.408,0.9051,0.9088,0.6545337092687105
0,271.46,270.142,0.8782,0.8847,1.009475457980044
0,271.46,270.552,0.837,0.84,1.1934318039289664
0,271.46,270.217,0.9094,0.9153,0.6514832282175871
0,271.459,270.377,0.8979,0.9019,0.6881960710334314
0,271.46,270.245,0.868,0.8733,1.08988528192604
0,271.46,270.549,0.8355,0.8385,1.190769069967828
0,271.46,270.256,0.9176,0.9232,0.536312655188061
0,271.459,270.4,0.8948,0.8986,0.6905276521544055
0,271.46,270.393,0.8576,0.861,1.1382421622062584
0,271.46,270.547,0.8361,0.8391,1.1877825761090688
0,271.46,270.249,0.9233,0.9291,0.4649554638943981
0,271.459,270.471,0.9021,0.9053,0.646915154512499
0,271.46,270.472,0.8473,0.8504,1.217318860161217
0,271.46,270.519,0.8343,0.8372,1.184119245613946
0,271.46,270.254,0.929,0.9347,0.43102389704945115
0,271.459,270.528,0.909,0.9123,0.5757106657217297
0,271.46,270.493,0.8331,0.836,1.3227689374047205
0,271.46,270.466,0.84,0.843,1.1632303589910928
