32.4	1	286.6	4e-06
30.8	2	278.1	3.9e-06
29.7	3	272.7	3.8e-06
28.2	5	257.8	3.7e-06
27.1	7	252.1	3.6e-06
25.9	10	244.4	3.3e-06
23.3	20	236.4	3.3e-06
21.6	30	231.0	3.2e-06
19.3	50	223.4	2.4e-06
17.7	70	218.8	1.4e-06
15.8	100	213.9	1.5e-06
14.6	125	211.9	1.8e-06
13.5	150	212.7	2.3e-06
12.6	175	213.8	3.3e-06
11.8	200	214.9	4e-06
11.0	225	214.6	4.8e-06
10.4	250	214.3	8.8e-06
9.2	300	217.5	1.81e-05
8.1	350	223.9	2.78e-05
7.2	400	229.5	6.48e-05
6.3	450	234.8	0.0001613
5.6	500	239.7	0.0002215
4.9	550	243.6	0.000215
4.2	600	247.0	0.0001785
3.6	650	249.8	0.0001866
3.0	700	252.6	0.000229
2.5	750	256.0	0.0002869
2.2	775	257.5	0.0003354
1.9	800	258.4	0.0004199
1.7	825	259.2	0.0005399
1.5	850	260.2	0.0006556
1.2	875	261.5	0.0007671
1.0	900	263.0	0.0008143
0.8	925	264.2	0.0010238
0.5	950	265.9	0.0013189
0.3	975	267.8	0.00136
0.1	1000	268.8	0.0013986
32.4	1	283.7	4e-06
30.8	2	277.3	3.9e-06
29.7	3	267.3	3.7e-06
28.2	5	256.9	3.6e-06
27.1	7	249.5	3.5e-06
25.9	10	245.9	3.4e-06
23.3	20	243.1	3.2e-06
21.6	30	240.3	3e-06
19.3	50	237.0	2.9e-06
17.7	70	233.0	1.9e-06
15.8	100	224.8	1.5e-06
14.6	125	220.5	1.6e-06
13.5	150	218.8	2e-06
12.6	175	218.2	2.7e-06
11.8	200	218.8	3.6e-06
11.0	225	220.2	4.8e-06
10.4	250	220.8	6.2e-06
9.2	300	222.1	1.3e-05
8.1	350	225.5	4.12e-05
7.2	400	229.8	8.45e-05
6.3	450	233.8	0.0001272
5.6	500	237.7	0.000225
4.9	550	241.4	0.0003632
4.2	600	244.9	0.0004695
3.6	650	249.1	0.0006581
3.0	700	251.3	0.0007605
2.5	750	253.8	0.0009161
2.2	775	255.4	0.0010324
1.9	800	256.9	0.0011487
1.7	825	258.7	0.0012742
1.5	850	260.5	0.0013949
1.2	875	262.2	0.0015162
1.0	900	263.9	0.0016035
0.8	925	265.6	0.0019026
0.5	950	267.3	0.0021234
0.3	975	268.6	0.0021897
0.1	1000	269.9	0.0021897
32.4	1	286.1	4e-06
30.8	2	278.2	3.8e-06
29.7	3	272.9	3.7e-06
28.2	5	260.5	3.5e-06
27.1	7	253.6	3.5e-06
25.9	10	247.8	3.2e-06
23.3	20	242.7	3.1e-06
21.6	30	239.9	3e-06
19.3	50	234.0	2.8e-06
17.7	70	230.2	2.6e-06
15.8	100	223.0	1.6e-06
14.6	125	219.3	2.1e-06
13.5	150	217.5	2.2e-06
12.6	175	217.8	3.2e-06
11.8	200	218.8	5.2e-06
11.0	225	219.1	4.7e-06
10.4	250	217.9	9.4e-06
9.2	300	218.4	5.39e-05
8.1	350	224.3	8.15e-05
7.2	400	231.2	0.0001661
6.3	450	237.5	0.0002903
5.6	500	243.4	0.0004826
4.9	550	248.4	0.0007229
4.2	600	252.8	0.0010216
3.6	650	256.5	0.001383
3.0	700	258.6	0.0015606
2.5	750	260.4	0.0016837
2.2	775	261.4	0.0016436
1.9	800	262.2	0.0015744
1.7	825	263.2	0.0015407
1.5	850	264.5	0.0015167
1.2	875	265.7	0.0015047
1.0	900	266.6	0.0018177
0.8	925	267.4	0.002367
0.5	950	269.2	0.0024578
0.3	975	270.8	0.0026593
0.1	1000	271.9	0.0026593
32.4	1	286.2	4e-06
30.8	2	283.0	3.8e-06
29.7	3	276.2	3.7e-06
28.2	5	265.9	3.6e-06
27.1	7	260.7	3.5e-06
25.9	10	256.8	3.3e-06
23.3	20	250.4	3.7e-06
21.6	30	242.0	3.5e-06
19.3	50	226.9	1.4e-06
17.7	70	218.9	1.3e-06
15.8	100	212.8	1.6e-06
14.6	125	211.3	2.2e-06
13.5	150	211.8	3e-06
12.6	175	212.4	4.2e-06
11.8	200	212.7	7.7e-06
11.0	225	212.7	1.14e-05
10.4	250	213.5	8.2e-06
9.2	300	217.0	1.66e-05
8.1	350	222.3	3.73e-05
7.2	400	228.2	5.82e-05
6.3	450	234.3	9.35e-05
5.6	500	240.1	0.0001494
4.9	550	245.0	0.0002163
4.2	600	249.1	0.0003723
3.6	650	252.5	0.0005018
3.0	700	255.5	0.0006623
2.5	750	258.4	0.0008544
2.2	775	259.8	0.000966
1.9	800	261.0	0.0010849
1.7	825	262.2	0.0012169
1.5	850	263.3	0.0014334
1.2	875	264.7	0.0017154
1.0	900	266.2	0.0018838
0.8	925	268.2	0.0018871
0.5	950	269.6	0.0025286
0.3	975	271.5	0.0026204
0.1	1000	272.5	0.0026418
32.4	1	285.5	4e-06
30.8	2	276.7	3.9e-06
29.7	3	273.1	3.8e-06
28.2	5	256.8	3.6e-06
27.1	7	251.9	3.5e-06
25.9	10	243.9	3.3e-06
23.3	20	235.8	3.2e-06
21.6	30	230.9	3e-06
19.3	50	223.7	2.6e-06
17.7	70	219.3	1.5e-06
15.8	100	214.3	1.6e-06
14.6	125	212.2	1.8e-06
13.5	150	213.2	2.4e-06
12.6	175	214.3	3e-06
11.8	200	214.9	3.9e-06
11.0	225	214.5	4.7e-06
10.4	250	214.2	7.6e-06
9.2	300	217.1	1.93e-05
8.1	350	223.8	4.67e-05
7.2	400	230.0	0.0001275
6.3	450	235.6	0.0002313
5.6	500	240.8	0.0003508
4.9	550	245.0	0.0004516
4.2	600	248.4	0.0004202
3.6	650	251.1	0.0002703
3.0	700	253.7	0.0002316
2.5	750	256.5	0.0002681
2.2	775	257.9	0.0002961
1.9	800	259.1	0.000355
1.7	825	259.9	0.000465
1.5	850	260.7	0.0006031
1.2	875	261.8	0.0007437
1.0	900	263.1	0.0008334
0.8	925	264.1	0.0013752
0.5	950	266.1	0.0015054
0.3	975	268.1	0.0015526
0.1	1000	269.0	0.0015807
32.4	1	283.5	4e-06
30.8	2	276.7	3.9e-06
29.7	3	267.6	3.7e-06
28.2	5	256.1	3.6e-06
27.1	7	249.1	3.5e-06
25.9	10	245.8	3.4e-06
23.3	20	242.3	3.1e-06
21.6	30	240.1	3e-06
19.3	50	237.4	2.9e-06
17.7	70	233.6	2e-06
15.8	100	226.1	1.5e-06
14.6	125	221.5	1.5e-06
13.5	150	219.4	2e-06
12.6	175	218.9	2.6e-06
11.8	200	219.1	3.5e-06
11.0	225	220.7	4.6e-06
10.4	250	221.5	6e-06
9.2	300	222.6	9.4e-06
8.1	350	225.8	2.8e-05
7.2	400	229.8	4.97e-05
6.3	450	233.7	8e-05
5.6	500	237.6	0.0001413
4.9	550	241.1	0.0002963
4.2	600	244.4	0.000448
3.6	650	248.1	0.0006004
3.0	700	250.3	0.0006873
2.5	750	253.4	0.0008734
2.2	775	255.2	0.0010105
1.9	800	256.8	0.0011478
1.7	825	258.3	0.0012832
1.5	850	259.9	0.0013668
1.2	875	261.6	0.0014256
1.0	900	263.4	0.0015305
0.8	925	265.1	0.0017037
0.5	950	266.9	0.0019789
0.3	975	268.2	0.0020719
0.1	1000	269.5	0.0020719
32.4	1	286.2	4e-06
30.8	2	278.1	3.8e-06
29.7	3	272.1	3.7e-06
28.2	5	260.4	3.5e-06
27.1	7	253.3	3.5e-06
25.9	10	247.7	3.2e-06
23.3	20	242.3	3.1e-06
21.6	30	239.2	3e-06
19.3	50	233.5	2.8e-06
17.7	70	230.5	2.7e-06
15.8	100	223.8	1.7e-06
14.6	125	220.1	2.1e-06
13.5	150	218.2	2.2e-06
12.6	175	218.4	3e-06
11.8	200	219.4	5.3e-06
11.0	225	219.9	4.4e-06
10.4	250	219.1	6.4e-06
9.2	300	219.1	4.83e-05
8.1	350	224.1	7.92e-05
7.2	400	231.5	0.0001686
6.3	450	237.8	0.0003049
5.6	500	243.1	0.0004763
4.9	550	248.5	0.0007274
4.2	600	253.2	0.0010451
3.6	650	257.0	0.0013963
3.0	700	259.0	0.0015668
2.5	750	261.1	0.0017591
2.2	775	262.3	0.0019062
1.9	800	263.3	0.002057
1.7	825	264.5	0.0022665
1.5	850	265.8	0.0024351
1.2	875	266.9	0.0025628
1.0	900	267.7	0.0026746
0.8	925	268.7	0.0027723
0.5	950	269.9	0.0029055
0.3	975	271.3	0.0030608
0.1	1000	272.6	0.0030608
32.4	1	285.8	4e-06
30.8	2	282.8	3.8e-06
29.7	3	276.0	3.7e-06
28.2	5	265.8	3.6e-06
27.1	7	260.4	3.5e-06
25.9	10	256.6	3.3e-06
23.3	20	250.1	3.7e-06
21.6	30	241.7	3.5e-06
19.3	50	226.9	1.4e-06
17.7	70	219.0	1.3e-06
15.8	100	213.0	1.6e-06
14.6	125	211.6	2.2e-06
13.5	150	211.9	2.9e-06
12.6	175	212.5	4.2e-06
11.8	200	212.8	6.7e-06
11.0	225	213.0	1.02e-05
10.4	250	213.6	8.7e-06
9.2	300	217.0	1.6e-05
8.1	350	222.3	3.51e-05
7.2	400	228.3	5.8e-05
6.3	450	234.4	9.31e-05
5.6	500	240.1	0.0001532
4.9	550	245.1	0.0002048
4.2	600	249.1	0.0003706
3.6	650	252.6	0.0005214
3.0	700	255.6	0.0006744
2.5	750	258.5	0.0008906
2.2	775	259.9	0.0010237
1.9	800	261.2	0.0011507
1.7	825	262.2	0.0012493
1.5	850	263.0	0.0013437
1.2	875	264.3	0.0015452
1.0	900	266.1	0.0016782
0.8	925	268.0	0.001941
0.5	950	269.7	0.0023112
0.3	975	271.8	0.0023972
0.1	1000	272.7	0.0024096
32.4	1	284.7	4e-06
30.8	2	276.1	3.9e-06
29.7	3	272.6	3.8e-06
28.2	5	256.2	3.6e-06
27.1	7	251.4	3.5e-06
25.9	10	243.8	3.3e-06
23.3	20	235.1	3.1e-06
21.6	30	230.7	3e-06
19.3	50	224.2	2.7e-06
17.7	70	219.9	1.5e-06
15.8	100	214.7	1.6e-06
14.6	125	212.4	1.9e-06
13.5	150	213.6	2.5e-06
12.6	175	214.9	2.9e-06
11.8	200	215.1	3.7e-06
11.0	225	214.6	4.5e-06
10.4	250	214.0	6.7e-06
9.2	300	216.9	2.61e-05
8.1	350	223.8	7.67e-05
7.2	400	230.4	0.0001584
6.3	450	236.2	0.0002527
5.6	500	241.5	0.0004013
4.9	550	246.0	0.0005661
4.2	600	249.6	0.000663
3.6	650	252.4	0.000538
3.0	700	254.8	0.0003178
2.5	750	257.3	0.0002836
2.2	775	258.5	0.0003032
1.9	800	259.7	0.0003264
1.7	825	260.7	0.0003752
1.5	850	261.6	0.0004573
1.2	875	262.6	0.0005583
1.0	900	263.6	0.0006536
0.8	925	264.2	0.0013547
0.5	950	266.1	0.0016275
0.3	975	268.2	0.0016737
0.1	1000	269.1	0.0017
32.4	1	283.1	4e-06
30.8	2	276.1	3.9e-06
29.7	3	267.9	3.7e-06
28.2	5	255.3	3.6e-06
27.1	7	249.1	3.5e-06
25.9	10	245.1	3.4e-06
23.3	20	241.4	3.1e-06
21.6	30	239.1	3e-06
19.3	50	237.3	2.8e-06
17.7	70	234.1	2.2e-06
15.8	100	227.3	1.5e-06
14.6	125	222.6	1.5e-06
13.5	150	220.2	1.9e-06
12.6	175	219.6	2.6e-06
11.8	200	219.6	3.5e-06
11.0	225	221.1	4.4e-06
10.4	250	222.1	5.7e-06
9.2	300	223.3	7.4e-06
8.1	350	226.2	1.8e-05
7.2	400	229.8	2.81e-05
6.3	450	233.5	4.5e-05
5.6	500	237.5	7.3e-05
4.9	550	240.9	0.0001844
4.2	600	243.8	0.0004209
3.6	650	247.2	0.0005485
3.0	700	249.9	0.0006661
2.5	750	253.1	0.0007821
2.2	775	254.8	0.000834
1.9	800	256.2	0.0008431
1.7	825	257.7	0.0008064
1.5	850	259.0	0.0010163
1.2	875	260.7	0.0012072
1.0	900	262.8	0.0012773
0.8	925	264.7	0.0014086
0.5	950	266.5	0.0016832
0.3	975	267.8	0.001998
0.1	1000	269.0	0.001998
32.4	1	286.1	4e-06
30.8	2	277.9	3.8e-06
29.7	3	271.3	3.7e-06
28.2	5	260.0	3.5e-06
27.1	7	253.3	3.5e-06
25.9	10	247.3	3.3e-06
23.3	20	242.0	3.1e-06
21.6	30	238.6	3e-06
19.3	50	233.2	2.8e-06
17.7	70	230.5	2.7e-06
15.8	100	224.5	1.9e-06
14.6	125	220.9	2.2e-06
13.5	150	218.9	2.2e-06
12.6	175	219.2	3e-06
11.8	200	220.0	5.1e-06
11.0	225	220.5	4.7e-06
10.4	250	220.5	4.6e-06
9.2	300	220.3	2.68e-05
8.1	350	224.0	8.05e-05
7.2	400	231.2	0.0001569
6.3	450	238.1	0.0003044
5.6	500	243.3	0.0004834
4.9	550	248.4	0.0007306
4.2	600	253.1	0.0010446
3.6	650	256.8	0.0013731
3.0	700	259.3	0.0016416
2.5	750	261.8	0.0019171
2.2	775	263.2	0.0020913
1.9	800	264.5	0.0022711
1.7	825	266.1	0.0025211
1.5	850	267.5	0.0027698
1.2	875	268.5	0.0029439
1.0	900	269.4	0.0031199
0.8	925	270.3	0.0032672
0.5	950	271.1	0.0033953
0.3	975	272.4	0.003489
0.1	1000	273.7	0.0034891
32.4	1	285.5	4e-06
30.8	2	282.5	3.8e-06
29.7	3	275.8	3.7e-06
28.2	5	265.8	3.6e-06
27.1	7	260.2	3.5e-06
25.9	10	256.3	3.3e-06
23.3	20	249.9	3.7e-06
21.6	30	241.3	3.5e-06
19.3	50	227.0	1.4e-06
17.7	70	219.2	1.3e-06
15.8	100	213.1	1.6e-06
14.6	125	212.0	2.2e-06
13.5	150	212.0	2.9e-06
12.6	175	212.5	4.2e-06
11.8	200	213.0	5.8e-06
11.0	225	213.1	8.9e-06
10.4	250	213.6	8.9e-06
9.2	300	216.9	1.68e-05
8.1	350	222.3	3.55e-05
7.2	400	228.3	5.98e-05
6.3	450	234.4	9.49e-05
5.6	500	240.2	0.0001631
4.9	550	245.3	0.0002089
4.2	600	249.2	0.0003711
3.6	650	252.6	0.0005621
3.0	700	255.5	0.0007266
2.5	750	258.5	0.0009633
2.2	775	259.8	0.0011033
1.9	800	261.1	0.0012127
1.7	825	262.0	0.0012783
1.5	850	262.4	0.0016622
1.2	875	263.8	0.0018432
1.0	900	266.1	0.001766
0.8	925	268.0	0.0019686
0.5	950	270.0	0.0019979
0.3	975	272.1	0.0020978
0.1	1000	273.0	0.0021145
32.4	1	284.2	4e-06
30.8	2	276.4	3.9e-06
29.7	3	271.6	3.8e-06
28.2	5	255.9	3.6e-06
27.1	7	250.4	3.5e-06
25.9	10	244.1	3.3e-06
23.3	20	234.3	3.1e-06
21.6	30	230.3	3e-06
19.3	50	224.6	2.7e-06
17.7	70	220.4	1.6e-06
15.8	100	215.1	1.7e-06
14.6	125	212.7	2e-06
13.5	150	214.0	2.7e-06
12.6	175	215.5	3e-06
11.8	200	215.5	3.7e-06
11.0	225	214.8	4.2e-06
10.4	250	214.2	9e-06
9.2	300	217.0	3.5e-05
8.1	350	224.0	8.61e-05
7.2	400	230.7	0.0001598
6.3	450	236.6	0.0002701
5.6	500	241.8	0.0004329
4.9	550	246.4	0.0006101
4.2	600	250.3	0.0007893
3.6	650	253.4	0.0008926
3.0	700	256.1	0.0007803
2.5	750	258.2	0.000414
2.2	775	259.2	0.00035
1.9	800	260.3	0.0003614
1.7	825	261.3	0.0003799
1.5	850	262.3	0.0004072
1.2	875	263.3	0.0004514
1.0	900	264.3	0.0005086
0.8	925	264.8	0.0009976
0.5	950	266.2	0.0016112
0.3	975	268.3	0.0016708
0.1	1000	269.2	0.0016956
32.4	1	282.8	4e-06
30.8	2	275.6	3.9e-06
29.7	3	267.8	3.7e-06
28.2	5	254.8	3.5e-06
27.1	7	249.0	3.5e-06
25.9	10	243.8	3.4e-06
23.3	20	240.5	3.1e-06
21.6	30	238.2	3e-06
19.3	50	236.5	2.8e-06
17.7	70	234.7	2.4e-06
15.8	100	228.4	1.5e-06
14.6	125	223.6	1.5e-06
13.5	150	220.9	1.8e-06
12.6	175	220.1	2.5e-06
11.8	200	220.2	3.3e-06
11.0	225	221.5	4.3e-06
10.4	250	222.7	5.3e-06
9.2	300	223.9	6.7e-06
8.1	350	226.6	1.18e-05
7.2	400	229.9	1.83e-05
6.3	450	233.4	2.94e-05
5.6	500	237.5	4.6e-05
4.9	550	240.8	0.0001005
4.2	600	243.4	0.0003267
3.6	650	246.4	0.000456
3.0	700	249.4	0.0004577
2.5	750	252.6	0.0005019
2.2	775	254.2	0.0006056
1.9	800	255.8	0.0006995
1.7	825	257.4	0.0007625
1.5	850	259.0	0.0009328
1.2	875	260.8	0.0011152
1.0	900	262.5	0.001286
0.8	925	264.3	0.0015297
0.5	950	266.2	0.0017495
0.3	975	267.5	0.0020271
0.1	1000	268.8	0.0020271
32.4	1	285.7	4e-06
30.8	2	277.5	3.8e-06
29.7	3	270.7	3.7e-06
28.2	5	259.3	3.5e-06
27.1	7	253.3	3.5e-06
25.9	10	246.8	3.3e-06
23.3	20	241.7	3e-06
21.6	30	238.0	3e-06
19.3	50	233.1	2.8e-06
17.7	70	230.3	2.8e-06
15.8	100	225.2	2.2e-06
14.6	125	221.5	2.2e-06
13.5	150	219.7	2.2e-06
12.6	175	219.9	3e-06
11.8	200	220.6	4.6e-06
11.0	225	221.1	6.4e-06
10.4	250	221.6	4.7e-06
9.2	300	222.3	1.45e-05
8.1	350	224.6	7.59e-05
7.2	400	230.8	0.0001628
6.3	450	237.7	0.0003082
5.6	500	243.4	0.0004866
4.9	550	248.4	0.0007244
4.2	600	252.7	0.0010107
3.6	650	256.0	0.0012821
3.0	700	259.6	0.0016881
2.5	750	262.9	0.0021308
2.2	775	264.2	0.0023116
1.9	800	265.5	0.0024794
1.7	825	266.9	0.0027018
1.5	850	268.2	0.0029582
1.2	875	269.4	0.0031822
1.0	900	270.4	0.0033426
0.8	925	271.6	0.0036363
0.5	950	272.4	0.0037763
0.3	975	273.7	0.003868
0.1	1000	275.0	0.0038681
32.4	1	285.2	4e-06
30.8	2	282.2	3.8e-06
29.7	3	275.6	3.7e-06
28.2	5	265.7	3.6e-06
27.1	7	259.9	3.5e-06
25.9	10	256.0	3.3e-06
23.3	20	249.8	3.7e-06
21.6	30	240.9	3.5e-06
19.3	50	227.0	1.4e-06
17.7	70	219.3	1.3e-06
15.8	100	213.4	1.6e-06
14.6	125	212.3	2.2e-06
13.5	150	212.1	2.9e-06
12.6	175	212.6	4.2e-06
11.8	200	213.2	5.4e-06
11.0	225	213.2	7.9e-06
10.4	250	213.6	9.1e-06
9.2	300	216.8	1.91e-05
8.1	350	222.3	3.76e-05
7.2	400	228.4	6.18e-05
6.3	450	234.5	0.0001001
5.6	500	240.3	0.0001743
4.9	550	245.4	0.0002258
4.2	600	249.4	0.0003873
3.6	650	252.7	0.0005814
3.0	700	255.6	0.0007724
2.5	750	258.3	0.0010365
2.2	775	259.5	0.0011834
1.9	800	260.8	0.0012765
1.7	825	261.6	0.001348
1.5	850	262.3	0.00175
1.2	875	264.0	0.00192
1.0	900	265.9	0.0020698
0.8	925	267.9	0.0021264
0.5	950	269.9	0.0021348
0.3	975	272.0	0.0022165
0.1	1000	272.9	0.0022313
32.4	1	283.8	4e-06
30.8	2	277.1	3.8e-06
29.7	3	270.6	3.8e-06
28.2	5	255.8	3.6e-06
27.1	7	249.1	3.5e-06
25.9	10	244.3	3.4e-06
23.3	20	233.7	3.1e-06
21.6	30	229.9	3e-06
19.3	50	224.9	2.8e-06
17.7	70	220.9	1.7e-06
15.8	100	215.5	1.7e-06
14.6	125	213.1	2.1e-06
13.5	150	214.4	3e-06
12.6	175	216.1	3.3e-06
11.8	200	216.0	3.6e-06
11.0	225	215.3	3.8e-06
10.4	250	214.6	1.38e-05
9.2	300	217.3	3.88e-05
8.1	350	224.2	8.32e-05
