,L8_filename,DateTime,L8_SST,L8_SST_std,L8_SST_noqc,L8_SST_raw,L8_pix
53,LC08_L1GT_001114_20190927_20200825_02_T2_145234,2019-09-27 14:52:34,,,-20.63,-27.48,0
54,LC08_L1GT_001114_20191114_20201016_02_T2_145235,2019-11-14 14:52:35,,,-10.7,-14.59,0
55,LC08_L1GT_001114_20200202_20201016_02_T2_145218,2020-02-02 14:52:18,,,-7.3,-10.17,0
56,LC08_L1GT_001114_20200929_20201007_02_T2_145233,2020-09-29 14:52:33,,,-21.54,-28.66,0
57,LC08_L1GT_001114_20201116_20210315_02_T2_145232,2020-11-16 14:52:32,,,-6.88,-9.63,0
58,LC08_L1GT_001114_20210119_20210307_02_T2_145222,2021-01-19 14:52:22,-1.71,0.12,-3.26,-4.92,115
59,LC08_L1GT_002113_20131104_20201016_02_T2_145945,2013-11-04 14:59:45,,,-6.81,-9.54,0
60,LC08_L1GT_002113_20140312_20200911_02_T2_145833,2014-03-12 14:58:33,-1.86,0.03,-2.44,-3.86,661
61,LC08_L1GT_002113_20151126_20201016_02_T2_145810,2015-11-26 14:58:10,,,-2.87,-4.41,0
62,LC08_L1GT_002113_20151212_20201016_02_T2_145808,2015-12-12 14:58:08,-1.45,0.17,-1.52,-2.67,573
63,LC08_L1GT_002113_20151228_20201016_02_T2_145808,2015-12-28 14:58:08,-1.82,0.05,-2.11,-3.42,247
64,LC08_L1GT_002113_20160214_20201016_02_T2_145757,2016-02-14 14:57:57,,,-7.52,-10.46,0
65,LC08_L1GT_002113_20160317_20200907_02_T2_145749,2016-03-17 14:57:49,,,-11.82,-16.04,0
66,LC08_L1GT_002113_20161128_20201016_02_T2_145821,2016-11-28 14:58:21,,,-2.96,-4.53,0
67,LC08_L1GT_002113_20170928_20200903_02_T2_145814,2017-09-28 14:58:14,,,-28.71,-37.97,0
68,LC08_L1GT_002113_20171014_20201016_02_T2_145818,2017-10-14 14:58:18,,,-16.31,-21.87,0
69,LC08_L1GT_002113_20171030_20201016_02_T2_145819,2017-10-30 14:58:19,,,-14.76,-19.85,0
70,LC08_L1GT_002113_20180323_20200901_02_T2_145731,2018-03-23 14:57:31,,,-13.3,-17.96,0
71,LC08_L1GT_002113_20180915_20200830_02_T2_145738,2018-09-15 14:57:38,,,-18.97,-25.32,0
72,LC08_L1GT_002113_20181001_20200830_02_T2_145745,2018-10-01 14:57:45,,,-17.72,-23.7,0
73,LC08_L1GT_002113_20181118_20201016_02_T2_145757,2018-11-18 14:57:57,,,-10.68,-14.55,0
74,LC08_L1GT_002113_20190918_20200826_02_T2_145819,2019-09-18 14:58:19,,,-14.42,-19.42,0
75,LC08_L1GT_002113_20191207_20201016_02_T2_145820,2019-12-07 14:58:20,-1.8,0.07,-2.63,-4.1,57
76,LC08_L1GT_002113_20191223_20201016_02_T2_145817,2019-12-23 14:58:17,,,-3.02,-4.61,0
77,LC08_L1GT_002113_20200108_20201016_02_T2_145813,2020-01-08 14:58:13,,,-3.21,-4.85,0
78,LC08_L1GT_002113_20201006_20201015_02_T2_145820,2020-10-06 14:58:20,,,-14.42,-19.42,0
79,LC08_L1GT_002113_20201123_20210315_02_T2_145820,2020-11-23 14:58:20,,,-6.27,-8.83,0
80,LC08_L1GT_002113_20201225_20210310_02_T2_145820,2020-12-25 14:58:20,-1.77,0.08,-2.88,-4.43,77
81,LC08_L1GT_002113_20210126_20210305_02_T2_145809,2021-01-26 14:58:09,,,-7.43,-10.33,0
82,LC08_L1GT_003113_20131111_20201016_02_T2_150555,2013-11-11 15:05:55,,,-7.43,-10.33,0
83,LC08_L1GT_003113_20131229_20201016_02_T2_150537,2013-12-29 15:05:37,-1.88,0.01,-3.19,-4.83,2
84,LC08_L1GT_003113_20140114_20201016_02_T2_150521,2014-01-14 15:05:21,-1.63,0.15,-3.32,-5.0,31
85,LC08_L1GT_003113_20140130_20201016_02_T2_150516,2014-01-30 15:05:16,,,-3.49,-5.22,0
86,LC08_L1GT_003113_20140303_20200911_02_T2_150445,2014-03-03 15:04:45,-1.89,0.0,-2.54,-3.99,5
87,LC08_L1GT_003113_20140319_20200911_02_T2_150438,2014-03-19 15:04:38,,,-5.3,-7.57,0
88,LC08_L1GT_003113_20141114_20201016_02_T2_150425,2014-11-14 15:04:25,,,-4.48,-6.51,0
89,LC08_L1GT_003113_20141130_20201016_02_T2_150423,2014-11-30 15:04:23,,,-2.6,-4.07,0
90,LC08_L1GT_003113_20141216_20201016_02_T2_150418,2014-12-16 15:04:18,-1.75,0.07,-2.0,-3.28,662
91,LC08_L1GT_003113_20150306_20200909_02_T2_150354,2015-03-06 15:03:54,,,-5.84,-8.27,0
92,LC08_L1GT_003113_20151101_20201016_02_T2_150418,2015-11-01 15:04:18,,,-7.03,-9.81,0
93,LC08_L1GT_003113_20160104_20201016_02_T2_150416,2016-01-04 15:04:16,-1.1,0.23,-1.18,-2.22,1495
94,LC08_L1GT_003113_20161002_20200906_02_T2_150427,2016-10-02 15:04:27,,,-8.77,-12.08,0
95,LC08_L1GT_003113_20170919_20200903_02_T2_150421,2017-09-19 15:04:21,,,-13.36,-18.04,0
96,LC08_L1GT_003113_20171005_20200903_02_T2_150427,2017-10-05 15:04:27,,,-13.98,-18.84,0
97,LC08_L1GT_003113_20171224_20201016_02_T2_150423,2017-12-24 15:04:23,-1.66,0.12,-2.49,-3.92,398
98,LC08_L1GT_003113_20180109_20201016_02_T2_150417,2018-01-09 15:04:17,-1.81,0.06,-1.99,-3.28,495
99,LC08_L1GT_003113_20180125_20201016_02_T2_150409,2018-01-25 15:04:09,,,-4.21,-6.15,0
100,LC08_L1GT_003113_20180226_20201016_02_T2_150355,2018-02-26 15:03:55,,,-11.43,-15.54,0
101,LC08_L1GT_003113_20180314_20200901_02_T2_150346,2018-03-14 15:03:46,,,-14.41,-19.4,0
102,LC08_L1GT_003113_20181211_20201016_02_T2_150404,2018-12-11 15:04:04,,,-5.98,-8.45,0
103,LC08_L1GT_003113_20190112_20201016_02_T2_150402,2019-01-12 15:04:02,-1.85,0.03,-4.71,-6.8,31
104,LC08_L1GT_003113_20190213_20201016_02_T2_150356,2019-02-13 15:03:56,,,-10.08,-13.79,0
105,LC08_L1GT_003113_20191011_20201016_02_T2_150435,2019-10-11 15:04:35,,,-16.44,-22.04,0
106,LC08_L1GT_003113_20191112_20201016_02_T2_150433,2019-11-12 15:04:33,,,-14.88,-20.02,0
107,LC08_L1GT_003113_20191214_20201022_02_T2_150429,2019-12-14 15:04:29,,,-2.83,-4.36,0
108,LC08_L1GT_003113_20200131_20201016_02_T2_150417,2020-01-31 15:04:17,,,-5.94,-8.4,0
109,LC08_L1GT_003113_20201013_20201105_02_T2_150432,2020-10-13 15:04:32,,,-16.03,-21.51,0
110,LC08_L1GT_003113_20201029_20201106_02_T2_150431,2020-10-29 15:04:31,,,-6.3,-8.87,0
111,LC08_L1GT_004113_20131118_20201016_02_T2_151202,2013-11-18 15:12:02,,,-8.94,-12.29,0
112,LC08_L1GT_004113_20140105_20201016_02_T2_151142,2014-01-05 15:11:42,,,-3.69,-5.48,0
113,LC08_L1GT_004113_20140121_20201016_02_T2_151130,2014-01-21 15:11:30,,,-2.88,-4.42,0
114,LC08_L1GT_004113_20140310_20200911_02_T2_151055,2014-03-10 15:10:55,,,-4.04,-5.94,0
115,LC08_L1GT_004113_20140326_20200911_02_T2_151039,2014-03-26 15:10:39,,,-5.03,-7.23,0
116,LC08_L1GT_004113_20141004_20200910_02_T2_151034,2014-10-04 15:10:34,,,-6.17,-8.7,0
117,LC08_L1GT_004113_20141105_20201016_02_T2_151036,2014-11-05 15:10:36,,,-3.02,-4.61,0
118,LC08_L1GT_004113_20141121_20201016_02_T2_151032,2014-11-21 15:10:32,,,-3.64,-5.41,0
119,LC08_L1GT_004113_20141207_20201016_02_T2_151031,2014-12-07 15:10:31,,,-2.61,-4.08,0
120,LC08_L1GT_004113_20150124_20201016_02_T2_151019,2015-01-24 15:10:19,,,-2.6,-4.06,0
121,LC08_L1GT_004113_20150313_20200909_02_T2_150958,2015-03-13 15:09:58,,,-13.66,-18.43,0
122,LC08_L1GT_004113_20150921_20200908_02_T2_151021,2015-09-21 15:10:21,,,-6.09,-8.59,0
123,LC08_L1GT_004113_20151210_20201016_02_T2_151029,2015-12-10 15:10:29,-1.34,0.08,-1.36,-2.46,605
124,LC08_L1GT_004113_20160111_20201016_02_T2_151027,2016-01-11 15:10:27,-1.39,0.27,-2.46,-3.89,1533
125,LC08_L1GT_004113_20160315_20200907_02_T2_151012,2016-03-15 15:10:12,,,-9.43,-12.94,0
126,LC08_L1GT_004113_20160923_20200906_02_T2_151037,2016-09-23 15:10:37,,,-14.76,-19.85,0
127,LC08_L1GT_004113_20170926_20200903_02_T2_151035,2017-09-26 15:10:35,,,-17.54,-23.46,0
128,LC08_L1GT_004113_20171012_20201016_02_T2_151039,2017-10-12 15:10:39,,,-7.11,-9.93,0
129,LC08_L1GT_004113_20171215_20201016_02_T2_151033,2017-12-15 15:10:33,,,-3.78,-5.59,0
130,LC08_L1GT_004113_20171231_20201016_02_T2_151032,2017-12-31 15:10:32,,,-3.98,-5.86,0
131,LC08_L1GT_004113_20180201_20201016_02_T2_151015,2018-02-01 15:10:15,,,-4.57,-6.62,0
132,LC08_L1GT_004113_20180217_20201016_02_T2_151010,2018-02-17 15:10:10,,,-11.08,-15.08,0
133,LC08_L1GT_004113_20180305_20200901_02_T2_151002,2018-03-05 15:10:02,,,-13.28,-17.94,0
134,LC08_L1GT_004113_20180321_20200901_02_T2_150954,2018-03-21 15:09:54,,,-6.55,-9.19,0
135,LC08_L1GT_004113_20181031_20201016_02_T2_151017,2018-10-31 15:10:17,,,-6.82,-9.54,0
136,LC08_L1GT_004113_20181218_20201016_02_T2_151015,2018-12-18 15:10:15,,,-3.75,-5.56,0
137,LC08_L1GT_004113_20190204_20201016_02_T2_151008,2019-02-04 15:10:08,,,-7.6,-10.56,0
138,LC08_L1GT_004113_20190324_20200829_02_T2_150956,2019-03-24 15:09:56,,,-13.17,-17.79,0
139,LC08_L1GT_004113_20191103_20201016_02_T2_151045,2019-11-03 15:10:45,,,-6.71,-9.4,0
140,LC08_L1GT_004113_20191119_20201016_02_T2_151042,2019-11-19 15:10:42,,,-9.49,-13.01,0
141,LC08_L1GT_004113_20200106_20201016_02_T2_151034,2020-01-06 15:10:34,,,-3.67,-5.46,0
142,LC08_L1GT_004113_20200122_20201016_02_T2_151031,2020-01-22 15:10:31,,,-4.78,-6.9,0
143,LC08_L1GT_004113_20201121_20210315_02_T2_151042,2020-11-21 15:10:42,,,-5.84,-8.28,0
144,LC08_L1GT_004113_20210124_20210305_02_T2_151031,2021-01-24 15:10:31,,,-2.95,-4.52,0
145,LC08_L1GT_004113_20210225_20210304_02_T2_151023,2021-02-25 15:10:23,,,-11.03,-15.02,0
146,LC08_L1GT_005113_20131211_20201016_02_T2_151808,2013-12-11 15:18:08,-1.34,0.18,-1.65,-2.83,192
147,LC08_L1GT_005113_20140213_20201016_02_T2_151724,2014-02-13 15:17:24,-1.41,0.24,-1.96,-3.24,3240
148,LC08_L1GT_005113_20140301_20201016_02_T2_151710,2014-03-01 15:17:10,,,-4.83,-6.96,0
149,LC08_L1GT_005113_20140317_20200911_02_T2_151701,2014-03-17 15:17:01,-1.57,0.11,-1.67,-2.86,9804
150,LC08_L1GT_005113_20141011_20201016_02_T2_151646,2014-10-11 15:16:46,,,-5.62,-7.99,0
151,LC08_L1GT_005113_20141027_20201016_02_T2_151644,2014-10-27 15:16:44,,,-5.08,-7.28,0
152,LC08_L1GT_005113_20141112_20201016_02_T2_151647,2014-11-12 15:16:47,,,-4.16,-6.09,0
153,LC08_L1GT_005113_20141128_20201016_02_T2_151645,2014-11-28 15:16:45,-1.89,0.01,-2.62,-4.09,10
154,LC08_L1GT_005113_20141214_20201016_02_T2_151639,2014-12-14 15:16:39,-1.85,0.03,-2.2,-3.55,97
155,LC08_L1GT_005113_20161101_20201016_02_T2_151654,2016-11-01 15:16:54,,,-6.37,-8.95,0
156,LC08_L1GT_005113_20161203_20201016_02_T2_151653,2016-12-03 15:16:53,,,-2.62,-4.09,0
