DateTime,MODIS_filename,MODIS_SST,MODIS_pix,L8_filename,L8_SST,L8_pix,time_dif
2021-10-10 15:41:17,20211010164001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_009112_20211010_20211019_02_T2_154117_Cel.tif,,0,0 days 00:58:44
2021-10-26 15:41:19,20211026150000-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_009112_20211026_20211104_02_T2_154119_Cel.tif,,0,0 days 00:41:19
2021-11-11 15:41:15,20211111150001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_009112_20211111_20211117_02_T2_154115_Cel.tif,,0,0 days 00:41:14
2021-12-29 15:41:08,20211229150001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.5032435209171613,30650,LC08_L1GT_009112_20211229_20220105_02_T2_154108_Cel.tif,-4.073496014802293,30650,0 days 00:41:07
2022-02-15 15:40:57,20220215150001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-0.953582715409695,1288694,LC08_L1GT_009112_20220215_20220223_02_T2_154057_Cel.tif,-2.002229171438397,1288694,0 days 00:40:56
2022-03-19 15:40:45,20220319150001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_009112_20220319_20220329_02_T2_154045_Cel.tif,,0,0 days 00:40:44
2022-09-11 15:41:29,20220911145501-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_009112_20220911_20220921_02_T2_154129_Cel.tif,,0,0 days 00:46:28
2022-09-27 15:41:31,20220927163001-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_009112_20220927_20221004_02_T2_154131_Cel.tif,,0,0 days 00:48:30
2022-11-14 15:41:26,20221114154001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.8968058862993795,31,LC08_L1GT_009112_20221114_20221122_02_T2_154126_Cel.tif,-3.0476487381635704,31,0 days 00:01:25
2022-11-30 15:41:26,20221130151000-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.5114442340538157,2151603,LC08_L1GT_009112_20221130_20221206_02_T2_154126_Cel.tif,-2.426979868874534,2151603,0 days 00:31:26
